rep_id,k,signal_mode,beta,n_cluster_rows,n_signal_clusters,shbeta_total,shbeta_weighted_within,shbeta_between,hric_ss_between,hric_ss_within,hric_ss_total,hric_manova_F,hric_r2_between,shbeta_abs_diff
32,12,Both,0.2,12,12,0.366706115204357,0.362767182418565,0.00393893278579226,0.922660621527001,84.975045831504,85.897706453031,1.06497981609297,0.0107446556230632,0.00977227237520171
33,12,Both,0.2,12,12,0.368967194365023,0.364836778156655,0.00413041620836734,0.967513941777223,85.4598305673349,86.4273445091122,1.11024754404736,0.0111943598133088,0.0120372426328254
34,12,Both,0.2,12,12,0.369941710248721,0.366308834488934,0.00363287575978664,0.850969434803626,85.8046469133671,86.6556163481707,0.972488452776433,0.00982131261272098,0.0127001624180178
35,12,Both,0.2,12,12,0.370960703215128,0.367230398843247,0.00373030437188153,0.873791236717639,86.0205153188891,86.8943065556067,0.994524806700294,0.0100427561766576,0.00983193434719585
36,12,Both,0.2,12,12,0.366787076155942,0.363089774056964,0.00369730209897805,0.866060742371873,85.0506101068474,85.9166708492193,0.997543879257722,0.010072838793751,0.0128892712421057
37,12,Both,0.2,12,12,0.372739670402728,0.36926989417002,0.0034697762327083,0.812764794306164,86.49824929612,87.3110140904262,0.92169250396659,0.00930978732230984,0.0175974952380875
38,12,Both,0.2,12,12,0.370149633354032,0.366314168324109,0.00383546502992275,0.898424202900385,85.8058963176971,86.7043205205974,1.02399497161176,0.0103362606407248,0.0117454716476379
39,12,Both,0.2,12,12,0.374108041565623,0.370643851426181,0.00346419013944208,0.811456300720419,86.8200867898933,87.6315430906138,0.915381518686299,0.0092495210643777,0.0100172393298011
40,12,Both,0.2,12,12,0.370666276510241,0.366925316328533,0.00374096018170752,0.876287267153193,85.9490524029292,86.8253396700824,0.999406315328623,0.010089460814712,0.0134302431074446
41,12,Both,0.2,12,12,0.371982641754131,0.368485437788708,0.00349720396542322,0.819189501273774,86.3144972364371,87.1336867377109,0.931394368323109,0.00940862402226019,0.015163315964305
42,12,Both,0.2,12,12,0.372758268797647,0.368672190897008,0.00408607790063868,0.95712808022763,86.35824252186,87.3153706020876,1.08741685581337,0.0109683077239113,0.0235363372905722
43,12,Both,0.2,12,12,0.372372867881288,0.36867116430942,0.00370170357186746,0.8670917489751,86.3580020526788,87.2250938016539,0.984061842872676,0.00993898827480962,0.0170864772740459
44,12,Both,0.2,12,12,0.367134809486882,0.363591427568855,0.00354338191802654,0.830006283576713,85.168118062998,85.9981243465747,0.955812770642313,0.00965313590313095,0.0112799563189216
45,12,Both,0.2,12,12,0.367602643740961,0.363649291883007,0.00395335185795418,0.926038163314652,85.1816722734815,86.1077104367962,1.06849244754558,0.0107765297553549,0.0111788693472472
46,12,Both,0.2,12,12,0.370243563550002,0.366337319357153,0.00390624419284943,0.915003603973857,85.8113192450986,86.7263228490725,1.04428463037895,0.010538486323211,0.0163213182086601
47,12,Both,0.2,12,12,0.368473801856604,0.364862771428331,0.00361103042827262,0.845852356587693,85.4659192643258,86.3117716209135,0.970554904109722,0.00980413653011668,0.0175039669057322
48,12,Both,0.2,12,12,0.371427727915836,0.367603545751007,0.00382418216482869,0.895781290241955,86.1079217247756,87.0037030150176,1.01884842181418,0.0102865816223897,0.0100070994233006
49,12,Both,0.2,12,12,0.370427310531785,0.36625247384564,0.0041748366861448,0.977919050943464,85.7914449246561,86.7693639755995,1.12161730364636,0.0113010675184233,0.0152495492584473
50,12,Both,0.2,12,12,0.368810956224659,0.364851306082636,0.0039596501420227,0.927513481379023,85.4632336071796,86.3907470885586,1.06329941911716,0.01072501933521,0.0185837427071419
51,12,Both,0.2,12,12,0.368976911637231,0.364975457876018,0.00400145376121322,0.937305614264236,85.4923150810393,86.4296206953035,1.07492711497698,0.0108438096350249,0.0100917117194016
52,12,Both,0.2,12,12,0.373583892614621,0.369946664360904,0.00363722825371674,0.851988968513178,86.6567768057045,87.5087657742177,0.962305357413331,0.0097207291925838,0.0165380192001607
53,12,Both,0.2,12,12,0.368252162934617,0.364468018476858,0.00378414445775865,0.886402806856043,85.3734518313019,86.259854638158,1.01635465574126,0.0102615326640589,0.0105405911640215
54,12,Both,0.2,12,12,0.373653028215327,0.369830593308403,0.00382243490692363,0.895372010329774,86.6295881748581,87.5249601851879,1.01595146953011,0.0102571888607696,0.0188849702576027
55,12,Both,0.2,12,12,0.369452935354977,0.365492586813721,0.00396034854125642,0.927677075303079,85.6134480205988,86.5411250959019,1.06601624459647,0.010750271084811,0.0170664239983183
56,12,Both,0.2,12,12,0.371750982766043,0.36826555553605,0.00348542722999381,0.816430903800358,86.2629917381375,87.0794226419379,0.92707338944346,0.00936120919132633,0.0145547515024235
57,12,Both,0.2,12,12,0.368104547358829,0.364759971023994,0.003344576334835,0.783437811118336,85.4418391669702,86.2252769780885,0.899471196101423,0.00909203417959147,0.0148252658850898
58,12,Both,0.2,12,12,0.368382411241824,0.364481762824091,0.00390064841773301,0.913692842499211,85.3766713246647,86.2903641671639,1.04901467405588,0.0105835415449417,0.0151930437951389
59,12,Both,0.2,12,12,0.36742357318363,0.363545376109777,0.00387819707385314,0.908433811176552,85.157330910699,86.0657647218755,1.04397322119507,0.0105349718518847,0.0169980558515438
60,12,Both,0.2,12,12,0.372686075215028,0.368262395876795,0.0044236793382338,1.03620827000986,86.2622516155382,87.2984598855481,1.17984001489183,0.0118863104684956,0.0162312681682204
61,12,Both,0.2,12,12,0.36592873132864,0.362279950151108,0.00364878117753274,0.854695140069837,84.8609159259769,85.7156110660468,0.987983029221081,0.00997846829617382,0.0107295489613443
62,12,Both,0.2,12,12,0.371163108524194,0.367083118645633,0.00407998987856093,0.955702014199193,85.9860162182293,86.9417182324285,1.08943835388084,0.0109877549138628,0.0123653582678232
63,12,Both,0.2,12,12,0.368201445885066,0.364160638626485,0.00404080725858038,0.94652382749981,85.3014507845177,86.2479746120175,1.0863864286126,0.0109575715431127,0.012561464918718
64,12,Both,0.2,12,12,0.370675232921161,0.366675567597268,0.0039996653238925,0.936886688433391,85.8905509427252,86.8274376311585,1.07116759769104,0.0108068898142929,0.0090311604497618
65,12,Both,0.2,12,12,0.373494503186918,0.369531883038142,0.00396262014877605,0.928209179535361,86.5596179015369,87.4878270810723,1.04977256058173,0.0105943059294752,0.0152240635252179
66,12,Both,0.2,12,12,0.372552250430817,0.368808552311678,0.00374369811913946,0.876928605096752,86.3901839929268,87.2671125980235,0.994808307340226,0.0100408400080728,0.0113014558142546
67,12,Both,0.2,12,12,0.372371947377521,0.368455938015455,0.00391600936206611,0.91729100962121,86.3075871720606,87.2248781816818,1.04212073558169,0.0105187849488631,0.0139352165183546
68,12,Both,0.2,12,12,0.36855578169357,0.364939261081537,0.00361652061203284,0.847138384208878,85.4838362978995,86.3309746821084,0.972767285710811,0.00982574515509656,0.0134677043650521
69,12,Both,0.2,12,12,0.370910524256109,0.366934885352636,0.00397563890347304,0.931258709180422,85.9512938632958,86.8825525724762,1.06173241668985,0.0107130944309427,0.00995821671194536
70,12,Both,0.2,12,12,0.370202783843273,0.366132497639987,0.00407028620328652,0.953429012971025,85.7633415457724,86.7167705587434,1.0905774616274,0.0110013776830484,0.020347920809362
71,12,Both,0.2,12,12,0.373959341442631,0.369987166720999,0.00397217472163208,0.930447254823552,86.6662641300055,87.5967113848291,1.05295353835293,0.0106236891894005,0.0175637416050991
72,12,Both,0.2,12,12,0.368355738911588,0.364938386768803,0.00341735214278505,0.800484908859514,85.4836314977735,86.284116406633,0.919301091892234,0.0092893447876709,0.0154209228136867
73,12,Both,0.2,12,12,0.370685484889986,0.367013515864093,0.00367196902589312,0.860126691137994,85.9697123742269,86.8298390653649,0.979293233902563,0.00989211192520243,0.0141132096401845
74,12,Both,0.2,12,12,0.370440246546775,0.366804258357004,0.00363598818977153,0.85169849435871,85.920695629832,86.7723941241907,0.97156160021322,0.00981452560445596,0.0151308150609691
75,12,Both,0.2,12,12,0.368379901684136,0.364246210631555,0.00413369105258078,0.968281045447607,85.3214952797343,86.2897763251819,1.10868661724458,0.0111818073906971,0.0180574940730717
76,12,Both,0.2,12,12,0.370076261556775,0.365376948601958,0.00469931295481584,1.10077303864635,85.5863607789171,86.6871338175634,1.25898188894685,0.012680301718351,0.0198480088376978
77,12,Both,0.2,12,12,0.365941355016451,0.362395824406079,0.00354553061037172,0.83050959600231,84.8880584587199,85.7185680547222,0.957514585708233,0.00967186757194674,0.0182364583121999
78,12,Both,0.2,12,12,0.370167712300859,0.366243150317867,0.00392456198299264,0.919294386416111,85.7892609696618,86.7085553560779,1.05054746744629,0.0105999349045043,0.0187721007306649
79,12,Both,0.2,12,12,0.367821225324817,0.363989016176008,0.00383220914880938,0.897661541170653,85.2612497236118,86.1589112647824,1.03074024542906,0.010404447081515,0.0202459308516515
80,12,Both,0.2,12,12,0.369676701979258,0.36576239531596,0.0039143066632983,0.91689216729797,85.6766483070487,86.5935404743467,1.05240547071107,0.0106169285640771,0.0153330642406786
81,12,Both,0.2,12,12,0.372184672710656,0.368398331932501,0.00378634077815517,0.886917275736914,86.294093449981,87.1810107257179,1.00745090356686,0.0101716377802072,0.0155884076398144
82,12,Both,0.2,12,12,0.372453422985855,0.368444921135576,0.0040085018502779,0.938956567603797,86.3050065641171,87.2439631317208,1.06676450527107,0.0107626122254512,0.0100888350848243
83,12,Both,0.2,12,12,0.370560362158464,0.366748728310155,0.00381163384830915,0.89284195663341,85.9076882010879,86.8005301577213,1.01862380810167,0.0102795357067858,0.0176094889681741
84,12,Both,0.2,12,12,0.372591095459534,0.368348567396722,0.00424252806281217,0.993775165039458,86.2824365418768,87.2762117069163,1.12894688400832,0.0113816940051015,0.0110446340049693
85,12,Both,0.2,12,12,0.369220625412431,0.365228054476469,0.00399257093596194,0.935224889988651,85.5514836297406,86.4867085197293,1.07090355459858,0.0108066840637566,0.0120338567595775
