"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.75,1,308,"euclidean",0.47,100
2,"abundance",0.75,1,308,"jaccard",0.11,100
2,"abundance",0.8,1,308,"AHC_euclidean",0.9,100
2,"abundance",0.8,1,308,"ILR_euclidean_pc0.01",0.1,100
2,"abundance",0.8,1,308,"ILR_euclidean_pc0.1",0.2,100
2,"abundance",0.8,1,308,"ILR_euclidean_pc0.5",0.27,100
2,"abundance",0.8,1,308,"ILR_euclidean_pc1",0.3,100
2,"abundance",0.8,1,308,"aitchison",0.27,100
2,"abundance",0.8,1,308,"aitchison_pc0.01",0.08,100
2,"abundance",0.8,1,308,"aitchison_pc0.1",0.21,100
2,"abundance",0.8,1,308,"aitchison_pc1",0.3,100
2,"abundance",0.8,1,308,"bray",0.93,100
2,"abundance",0.8,1,308,"euclidean",0.51,100
2,"abundance",0.8,1,308,"jaccard",0.04,100
2,"abundance",0.85,1,308,"AHC_euclidean",0.96,100
2,"abundance",0.85,1,308,"ILR_euclidean_pc0.01",0.07,100
2,"abundance",0.85,1,308,"ILR_euclidean_pc0.1",0.13,100
2,"abundance",0.85,1,308,"ILR_euclidean_pc0.5",0.24,100
2,"abundance",0.85,1,308,"ILR_euclidean_pc1",0.32,100
2,"abundance",0.85,1,308,"aitchison",0.23,100
2,"abundance",0.85,1,308,"aitchison_pc0.01",0.07,100
2,"abundance",0.85,1,308,"aitchison_pc0.1",0.15,100
2,"abundance",0.85,1,308,"aitchison_pc1",0.31,100
2,"abundance",0.85,1,308,"bray",0.96,100
2,"abundance",0.85,1,308,"euclidean",0.58,100
2,"abundance",0.85,1,308,"jaccard",0.04,100
2,"abundance",0.9,1,308,"AHC_euclidean",1,100
2,"abundance",0.9,1,308,"ILR_euclidean_pc0.01",0.13,100
2,"abundance",0.9,1,308,"ILR_euclidean_pc0.1",0.25,100
2,"abundance",0.9,1,308,"ILR_euclidean_pc0.5",0.31,100
2,"abundance",0.9,1,308,"ILR_euclidean_pc1",0.4,100
2,"abundance",0.9,1,308,"aitchison",0.32,100
2,"abundance",0.9,1,308,"aitchison_pc0.01",0.14,100
2,"abundance",0.9,1,308,"aitchison_pc0.1",0.24,100
2,"abundance",0.9,1,308,"aitchison_pc1",0.41,100
2,"abundance",0.9,1,308,"bray",1,100
2,"abundance",0.9,1,308,"euclidean",0.71,100
2,"abundance",0.9,1,308,"jaccard",0.03,100
2,"abundance",0.95,1,308,"AHC_euclidean",0.98,100
2,"abundance",0.95,1,308,"ILR_euclidean_pc0.01",0.12,100
2,"abundance",0.95,1,308,"ILR_euclidean_pc0.1",0.27,100
2,"abundance",0.95,1,308,"ILR_euclidean_pc0.5",0.39,100
2,"abundance",0.95,1,308,"ILR_euclidean_pc1",0.48,100
2,"abundance",0.95,1,308,"aitchison",0.4,100
2,"abundance",0.95,1,308,"aitchison_pc0.01",0.11,100
2,"abundance",0.95,1,308,"aitchison_pc0.1",0.27,100
2,"abundance",0.95,1,308,"aitchison_pc1",0.5,100
2,"abundance",0.95,1,308,"bray",1,100
2,"abundance",0.95,1,308,"euclidean",0.75,100
2,"abundance",0.95,1,308,"jaccard",0.04,100
2,"abundance",1,1,308,"AHC_euclidean",1,100
2,"abundance",1,1,308,"ILR_euclidean_pc0.01",0.16,100
2,"abundance",1,1,308,"ILR_euclidean_pc0.1",0.25,100
2,"abundance",1,1,308,"ILR_euclidean_pc0.5",0.4,100
2,"abundance",1,1,308,"ILR_euclidean_pc1",0.51,100
2,"abundance",1,1,308,"aitchison",0.39,100
2,"abundance",1,1,308,"aitchison_pc0.01",0.14,100
2,"abundance",1,1,308,"aitchison_pc0.1",0.26,100
2,"abundance",1,1,308,"aitchison_pc1",0.52,100
2,"abundance",1,1,308,"bray",1,100
2,"abundance",1,1,308,"euclidean",0.79,100
2,"abundance",1,1,308,"jaccard",0.04,100
2,"both",0.05,1,308,"AHC_euclidean",0.04,100
2,"both",0.05,1,308,"ILR_euclidean_pc0.01",0.08,100
2,"both",0.05,1,308,"ILR_euclidean_pc0.1",0.08,100
2,"both",0.05,1,308,"ILR_euclidean_pc0.5",0.07,100
2,"both",0.05,1,308,"ILR_euclidean_pc1",0.08,100
2,"both",0.05,1,308,"aitchison",0.07,100
2,"both",0.05,1,308,"aitchison_pc0.01",0.08,100
2,"both",0.05,1,308,"aitchison_pc0.1",0.07,100
2,"both",0.05,1,308,"aitchison_pc1",0.08,100
2,"both",0.05,1,308,"bray",0.07,100
2,"both",0.05,1,308,"euclidean",0.06,100
2,"both",0.05,1,308,"jaccard",0.07,100
2,"both",0.1,1,308,"AHC_euclidean",0.07,100
2,"both",0.1,1,308,"ILR_euclidean_pc0.01",0.14,100
2,"both",0.1,1,308,"ILR_euclidean_pc0.1",0.13,100
2,"both",0.1,1,308,"ILR_euclidean_pc0.5",0.13,100
2,"both",0.1,1,308,"ILR_euclidean_pc1",0.11,100
2,"both",0.1,1,308,"aitchison",0.12,100
2,"both",0.1,1,308,"aitchison_pc0.01",0.14,100
2,"both",0.1,1,308,"aitchison_pc0.1",0.12,100
2,"both",0.1,1,308,"aitchison_pc1",0.11,100
2,"both",0.1,1,308,"bray",0.09,100
2,"both",0.1,1,308,"euclidean",0.09,100
2,"both",0.1,1,308,"jaccard",0.1,100
2,"both",0.15,1,308,"AHC_euclidean",0.09,100
2,"both",0.15,1,308,"ILR_euclidean_pc0.01",0.12,100
2,"both",0.15,1,308,"ILR_euclidean_pc0.1",0.11,100
2,"both",0.15,1,308,"ILR_euclidean_pc0.5",0.09,100
2,"both",0.15,1,308,"ILR_euclidean_pc1",0.11,100
2,"both",0.15,1,308,"aitchison",0.09,100
2,"both",0.15,1,308,"aitchison_pc0.01",0.12,100
2,"both",0.15,1,308,"aitchison_pc0.1",0.12,100
2,"both",0.15,1,308,"aitchison_pc1",0.12,100
2,"both",0.15,1,308,"bray",0.11,100
2,"both",0.15,1,308,"euclidean",0.04,100
2,"both",0.15,1,308,"jaccard",0.16,100
2,"both",0.2,1,308,"AHC_euclidean",0.12,100
2,"both",0.2,1,308,"ILR_euclidean_pc0.01",0.23,100
2,"both",0.2,1,308,"ILR_euclidean_pc0.1",0.28,100
2,"both",0.2,1,308,"ILR_euclidean_pc0.5",0.28,100
2,"both",0.2,1,308,"ILR_euclidean_pc1",0.31,100
2,"both",0.2,1,308,"aitchison",0.29,100
2,"both",0.2,1,308,"aitchison_pc0.01",0.24,100
2,"both",0.2,1,308,"aitchison_pc0.1",0.28,100
2,"both",0.2,1,308,"aitchison_pc1",0.32,100
2,"both",0.2,1,308,"bray",0.15,100
2,"both",0.2,1,308,"euclidean",0.09,100
2,"both",0.2,1,308,"jaccard",0.28,100
2,"both",0.25,1,308,"AHC_euclidean",0.23,100
2,"both",0.25,1,308,"ILR_euclidean_pc0.01",0.25,100
2,"both",0.25,1,308,"ILR_euclidean_pc0.1",0.26,100
2,"both",0.25,1,308,"ILR_euclidean_pc0.5",0.28,100
2,"both",0.25,1,308,"ILR_euclidean_pc1",0.27,100
2,"both",0.25,1,308,"aitchison",0.27,100
2,"both",0.25,1,308,"aitchison_pc0.01",0.25,100
2,"both",0.25,1,308,"aitchison_pc0.1",0.3,100
2,"both",0.25,1,308,"aitchison_pc1",0.27,100
2,"both",0.25,1,308,"bray",0.18,100
