"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
4,"prevalence","bray","abund_sum",0.0749,400,87471.7473,NA,NA,"Bray-Curtis"
4,"prevalence","euclidean","abund_sum",0.0561,400,87471.7473,NA,NA,"Euclidean"
4,"prevalence","jaccard","abund_sum",0.0495,400,87471.7473,NA,NA,"Jaccard"
6,"abundance","AHC_euclidean","abund_sum",0.0576,600,87471.7473,NA,NA,"AHC"
6,"abundance","aitchison","abund_sum",0.0567,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"abundance","aitchison_pc1","abund_sum",0.0566,600,87471.7473,NA,NA,"Aitchison(1)"
6,"abundance","aitchison_pc0.1","abund_sum",0.0574,600,87471.7473,NA,NA,"Aitchison(0.1)"
6,"abundance","aitchison_pc0.01","abund_sum",0.0511,600,87471.7473,NA,NA,"Aitchison(0.01)"
6,"abundance","ILR_euclidean_pc0.01","abund_sum",0.0508,600,87471.7473,NA,NA,"ILR Euclidean(0.01)"
6,"abundance","ILR_euclidean_pc0.1","abund_sum",0.0547,600,87471.7473,NA,NA,"ILR Euclidean(0.1)"
6,"abundance","ILR_euclidean_pc0.5","abund_sum",0.0561,600,87471.7473,NA,NA,"ILR Euclidean(0.5)"
6,"abundance","ILR_euclidean_pc1","abund_sum",0.0547,600,87471.7473,NA,NA,"ILR Euclidean(1)"
6,"abundance","bray","abund_sum",0.0461,600,87471.7473,NA,NA,"Bray-Curtis"
6,"abundance","euclidean","abund_sum",0.0436,600,87471.7473,NA,NA,"Euclidean"
6,"abundance","jaccard","abund_sum",0.0489,600,87471.7473,NA,NA,"Jaccard"
6,"both","AHC_euclidean","abund_sum",0.0453,600,87471.7473,NA,NA,"AHC"
6,"both","aitchison","abund_sum",0.0341,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"both","aitchison_pc1","abund_sum",0.0332,600,87471.7473,NA,NA,"Aitchison(1)"
6,"both","aitchison_pc0.1","abund_sum",0.0366,600,87471.7473,NA,NA,"Aitchison(0.1)"
6,"both","aitchison_pc0.01","abund_sum",0.0334,600,87471.7473,NA,NA,"Aitchison(0.01)"
6,"both","ILR_euclidean_pc0.01","abund_sum",0.0334,600,87471.7473,NA,NA,"ILR Euclidean(0.01)"
