"k","signal_mode","method","type1_error","n_replicates","method_label"
2,"Prevalence","ILR_euclidean_pc0.5",0.03,100,"\(\operatorname{ILR}\)--Euclidean (0.5)"
4,"Prevalence","ILR_euclidean_pc0.5",0.12,100,"\(\operatorname{ILR}\)--Euclidean (0.5)"
6,"Prevalence","ILR_euclidean_pc0.5",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.5)"
8,"Prevalence","ILR_euclidean_pc0.5",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.5)"
2,"Abundance","ILR_euclidean_pc1",0.09,100,"\(\operatorname{ILR}\)--Euclidean (1)"
4,"Abundance","ILR_euclidean_pc1",0.02,100,"\(\operatorname{ILR}\)--Euclidean (1)"
6,"Abundance","ILR_euclidean_pc1",0.06,100,"\(\operatorname{ILR}\)--Euclidean (1)"
8,"Abundance","ILR_euclidean_pc1",0.03,100,"\(\operatorname{ILR}\)--Euclidean (1)"
2,"Joint","ILR_euclidean_pc1",0.03,100,"\(\operatorname{ILR}\)--Euclidean (1)"
4,"Joint","ILR_euclidean_pc1",0.1,100,"\(\operatorname{ILR}\)--Euclidean (1)"
6,"Joint","ILR_euclidean_pc1",0.03,100,"\(\operatorname{ILR}\)--Euclidean (1)"
8,"Joint","ILR_euclidean_pc1",0.08,100,"\(\operatorname{ILR}\)--Euclidean (1)"
2,"Prevalence","ILR_euclidean_pc1",0.02,100,"\(\operatorname{ILR}\)--Euclidean (1)"
4,"Prevalence","ILR_euclidean_pc1",0.09,100,"\(\operatorname{ILR}\)--Euclidean (1)"
6,"Prevalence","ILR_euclidean_pc1",0.05,100,"\(\operatorname{ILR}\)--Euclidean (1)"
8,"Prevalence","ILR_euclidean_pc1",0.04,100,"\(\operatorname{ILR}\)--Euclidean (1)"
