"panel","k","beta","method","empirical_power","n_replicates"
"Abundance",2,0.65,"HRIC distance",0.6,100
"Abundance",2,0.65,"ILR-Euclidean (0.01)",0.1,100
"Abundance",2,0.65,"ILR-Euclidean (0.1)",0.12,100
"Abundance",2,0.65,"ILR-Euclidean (0.5)",0.2,100
"Abundance",2,0.65,"ILR-Euclidean (1)",0.22,100
"Abundance",2,0.65,"Aitchison (0.5)",0.19,100
"Abundance",2,0.65,"Aitchison (0.01)",0.07,100
"Abundance",2,0.65,"Aitchison (0.1)",0.14,100
"Abundance",2,0.65,"Aitchison (1)",0.23,100
"Abundance",2,0.65,"Bray-Curtis",0.67,100
"Abundance",2,0.65,"Euclidean",0.37,100
"Abundance",2,0.65,"Jaccard",0.04,100
"Abundance",2,0.7,"HRIC distance",0.75,100
"Abundance",2,0.7,"ILR-Euclidean (0.01)",0.11,100
"Abundance",2,0.7,"ILR-Euclidean (0.1)",0.15,100
"Abundance",2,0.7,"ILR-Euclidean (0.5)",0.2,100
"Abundance",2,0.7,"ILR-Euclidean (1)",0.25,100
"Abundance",2,0.7,"Aitchison (0.5)",0.21,100
"Abundance",2,0.7,"Aitchison (0.01)",0.11,100
"Abundance",2,0.7,"Aitchison (0.1)",0.15,100
"Abundance",2,0.7,"Aitchison (1)",0.25,100
"Abundance",2,0.7,"Bray-Curtis",0.83,100
"Abundance",2,0.7,"Euclidean",0.33,100
"Abundance",2,0.7,"Jaccard",0.06,100
"Abundance",2,0.75,"HRIC distance",0.85,100
"Abundance",2,0.75,"ILR-Euclidean (0.01)",0.14,100
"Abundance",2,0.75,"ILR-Euclidean (0.1)",0.17,100
"Abundance",2,0.75,"ILR-Euclidean (0.5)",0.27,100
"Abundance",2,0.75,"ILR-Euclidean (1)",0.34,100
"Abundance",2,0.75,"Aitchison (0.5)",0.26,100
"Abundance",2,0.75,"Aitchison (0.01)",0.12,100
"Abundance",2,0.75,"Aitchison (0.1)",0.16,100
"Abundance",2,0.75,"Aitchison (1)",0.32,100
"Abundance",2,0.75,"Bray-Curtis",0.89,100
"Abundance",2,0.75,"Euclidean",0.47,100
"Abundance",2,0.75,"Jaccard",0.11,100
"Abundance",2,0.8,"HRIC distance",0.9,100
"Abundance",2,0.8,"ILR-Euclidean (0.01)",0.1,100
"Abundance",2,0.8,"ILR-Euclidean (0.1)",0.2,100
"Abundance",2,0.8,"ILR-Euclidean (0.5)",0.27,100
"Abundance",2,0.8,"ILR-Euclidean (1)",0.3,100
"Abundance",2,0.8,"Aitchison (0.5)",0.27,100
"Abundance",2,0.8,"Aitchison (0.01)",0.08,100
"Abundance",2,0.8,"Aitchison (0.1)",0.21,100
"Abundance",2,0.8,"Aitchison (1)",0.3,100
"Abundance",2,0.8,"Bray-Curtis",0.93,100
"Abundance",2,0.8,"Euclidean",0.51,100
"Abundance",2,0.8,"Jaccard",0.04,100
"Abundance",2,0.85,"HRIC distance",0.96,100
"Abundance",2,0.85,"ILR-Euclidean (0.01)",0.07,100
"Abundance",2,0.85,"ILR-Euclidean (0.1)",0.13,100
"Abundance",2,0.85,"ILR-Euclidean (0.5)",0.24,100
"Abundance",2,0.85,"ILR-Euclidean (1)",0.32,100
"Abundance",2,0.85,"Aitchison (0.5)",0.23,100
"Abundance",2,0.85,"Aitchison (0.01)",0.07,100
"Abundance",2,0.85,"Aitchison (0.1)",0.15,100
"Abundance",2,0.85,"Aitchison (1)",0.31,100
"Abundance",2,0.85,"Bray-Curtis",0.96,100
"Abundance",2,0.85,"Euclidean",0.58,100
"Abundance",2,0.85,"Jaccard",0.04,100
"Abundance",2,0.9,"HRIC distance",1,100
"Abundance",2,0.9,"ILR-Euclidean (0.01)",0.13,100
"Abundance",2,0.9,"ILR-Euclidean (0.1)",0.25,100
"Abundance",2,0.9,"ILR-Euclidean (0.5)",0.31,100
"Abundance",2,0.9,"ILR-Euclidean (1)",0.4,100
"Abundance",2,0.9,"Aitchison (0.5)",0.32,100
"Abundance",2,0.9,"Aitchison (0.01)",0.14,100
"Abundance",2,0.9,"Aitchison (0.1)",0.24,100
"Abundance",2,0.9,"Aitchison (1)",0.41,100
"Abundance",2,0.9,"Bray-Curtis",1,100
"Abundance",2,0.9,"Euclidean",0.71,100
"Abundance",2,0.9,"Jaccard",0.03,100
"Abundance",2,0.95,"HRIC distance",0.98,100
"Abundance",2,0.95,"ILR-Euclidean (0.01)",0.12,100
"Abundance",2,0.95,"ILR-Euclidean (0.1)",0.27,100
"Abundance",2,0.95,"ILR-Euclidean (0.5)",0.39,100
"Abundance",2,0.95,"ILR-Euclidean (1)",0.48,100
"Abundance",2,0.95,"Aitchison (0.5)",0.4,100
"Abundance",2,0.95,"Aitchison (0.01)",0.11,100
"Abundance",2,0.95,"Aitchison (0.1)",0.27,100
"Abundance",2,0.95,"Aitchison (1)",0.5,100
"Abundance",2,0.95,"Bray-Curtis",1,100
"Abundance",2,0.95,"Euclidean",0.75,100
"Abundance",2,0.95,"Jaccard",0.04,100
"Abundance",2,1,"HRIC distance",1,100
"Abundance",2,1,"ILR-Euclidean (0.01)",0.16,100
"Abundance",2,1,"ILR-Euclidean (0.1)",0.25,100
"Abundance",2,1,"ILR-Euclidean (0.5)",0.4,100
"Abundance",2,1,"ILR-Euclidean (1)",0.51,100
"Abundance",2,1,"Aitchison (0.5)",0.39,100
"Abundance",2,1,"Aitchison (0.01)",0.14,100
"Abundance",2,1,"Aitchison (0.1)",0.26,100
"Abundance",2,1,"Aitchison (1)",0.52,100
"Abundance",2,1,"Bray-Curtis",1,100
"Abundance",2,1,"Euclidean",0.79,100
"Abundance",2,1,"Jaccard",0.04,100
"Joint",2,0.05,"HRIC distance",0.04,100
"Joint",2,0.05,"ILR-Euclidean (0.01)",0.08,100
"Joint",2,0.05,"ILR-Euclidean (0.1)",0.08,100
"Joint",2,0.05,"ILR-Euclidean (0.5)",0.07,100
"Joint",2,0.05,"ILR-Euclidean (1)",0.08,100
"Joint",2,0.05,"Aitchison (0.5)",0.07,100
"Joint",2,0.05,"Aitchison (0.01)",0.08,100
"Joint",2,0.05,"Aitchison (0.1)",0.07,100
"Joint",2,0.05,"Aitchison (1)",0.08,100
"Joint",2,0.05,"Bray-Curtis",0.07,100
"Joint",2,0.05,"Euclidean",0.06,100
"Joint",2,0.05,"Jaccard",0.07,100
"Joint",2,0.1,"HRIC distance",0.07,100
"Joint",2,0.1,"ILR-Euclidean (0.01)",0.14,100
"Joint",2,0.1,"ILR-Euclidean (0.1)",0.13,100
"Joint",2,0.1,"ILR-Euclidean (0.5)",0.13,100
"Joint",2,0.1,"ILR-Euclidean (1)",0.11,100
"Joint",2,0.1,"Aitchison (0.5)",0.12,100
"Joint",2,0.1,"Aitchison (0.01)",0.14,100
"Joint",2,0.1,"Aitchison (0.1)",0.12,100
"Joint",2,0.1,"Aitchison (1)",0.11,100
"Joint",2,0.1,"Bray-Curtis",0.09,100
"Joint",2,0.1,"Euclidean",0.09,100
"Joint",2,0.1,"Jaccard",0.1,100
"Joint",2,0.15,"HRIC distance",0.09,100
"Joint",2,0.15,"ILR-Euclidean (0.01)",0.12,100
"Joint",2,0.15,"ILR-Euclidean (0.1)",0.11,100
"Joint",2,0.15,"ILR-Euclidean (0.5)",0.09,100
"Joint",2,0.15,"ILR-Euclidean (1)",0.11,100
"Joint",2,0.15,"Aitchison (0.5)",0.09,100
"Joint",2,0.15,"Aitchison (0.01)",0.12,100
"Joint",2,0.15,"Aitchison (0.1)",0.12,100
"Joint",2,0.15,"Aitchison (1)",0.12,100
"Joint",2,0.15,"Bray-Curtis",0.11,100
"Joint",2,0.15,"Euclidean",0.04,100
"Joint",2,0.15,"Jaccard",0.16,100
"Joint",2,0.2,"HRIC distance",0.12,100
"Joint",2,0.2,"ILR-Euclidean (0.01)",0.23,100
"Joint",2,0.2,"ILR-Euclidean (0.1)",0.28,100
"Joint",2,0.2,"ILR-Euclidean (0.5)",0.28,100
"Joint",2,0.2,"ILR-Euclidean (1)",0.31,100
"Joint",2,0.2,"Aitchison (0.5)",0.29,100
"Joint",2,0.2,"Aitchison (0.01)",0.24,100
