"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
42,"HRIC distance to personal baseline",30,"Day 1-30",-0.426518153345797
42,"HRIC alpha diversity",60,"Day 1-60",0.0147200383959305
42,"HRIC distance to personal baseline",60,"Day 1-60",-0.311635158169899
43,"HRIC alpha diversity",30,"Day 1-30",0.0358570882108009
43,"HRIC distance to personal baseline",30,"Day 1-30",-0.575658990212023
43,"HRIC alpha diversity",60,"Day 1-60",0.0164461103113111
43,"HRIC distance to personal baseline",60,"Day 1-60",-0.39120371580079
44,"HRIC alpha diversity",30,"Day 1-30",0.0161218189827709
44,"HRIC distance to personal baseline",30,"Day 1-30",-0.44105078696941
44,"HRIC alpha diversity",60,"Day 1-60",0.0066816901509009
44,"HRIC distance to personal baseline",60,"Day 1-60",-0.303394249414564
45,"HRIC alpha diversity",30,"Day 1-30",0.0416145491665571
45,"HRIC distance to personal baseline",30,"Day 1-30",-0.590018152386529
45,"HRIC alpha diversity",60,"Day 1-60",0.0252289302732503
45,"HRIC distance to personal baseline",60,"Day 1-60",-0.342297265302181
46,"HRIC alpha diversity",30,"Day 1-30",0.017523405007969
46,"HRIC distance to personal baseline",30,"Day 1-30",-0.42457096525091
46,"HRIC alpha diversity",60,"Day 1-60",0.0133679259131514
46,"HRIC distance to personal baseline",60,"Day 1-60",-0.378711192767778
47,"HRIC alpha diversity",30,"Day 1-30",0.0104541693532468
47,"HRIC distance to personal baseline",30,"Day 1-30",-0.579370858920806
47,"HRIC alpha diversity",60,"Day 1-60",0.0133786962819621
47,"HRIC distance to personal baseline",60,"Day 1-60",-0.596018815098431
48,"HRIC alpha diversity",30,"Day 1-30",0.0154870842638851
48,"HRIC distance to personal baseline",30,"Day 1-30",-0.396629353746131
48,"HRIC alpha diversity",60,"Day 1-60",0.0142484237120043
48,"HRIC distance to personal baseline",60,"Day 1-60",-0.405160715295716
49,"HRIC alpha diversity",30,"Day 1-30",0.0145784445070685
49,"HRIC distance to personal baseline",30,"Day 1-30",-0.373604778533842
49,"HRIC alpha diversity",60,"Day 1-60",0.00955108575820074
49,"HRIC distance to personal baseline",60,"Day 1-60",-0.285275882419906
50,"HRIC alpha diversity",30,"Day 1-30",0.0274634103114067
50,"HRIC distance to personal baseline",30,"Day 1-30",-0.323400860604755
50,"HRIC alpha diversity",60,"Day 1-60",0.0294149984507973
50,"HRIC distance to personal baseline",60,"Day 1-60",-0.338837580376634
51,"HRIC alpha diversity",30,"Day 1-30",0.0180781911990104
51,"HRIC distance to personal baseline",30,"Day 1-30",-0.419765117954014
51,"HRIC alpha diversity",60,"Day 1-60",0.014989145441319
51,"HRIC distance to personal baseline",60,"Day 1-60",-0.329601717392588
52,"HRIC alpha diversity",30,"Day 1-30",0.0368693551770818
52,"HRIC distance to personal baseline",30,"Day 1-30",-0.68108007275541
52,"HRIC alpha diversity",60,"Day 1-60",0.020264920896927
52,"HRIC distance to personal baseline",60,"Day 1-60",-0.468563850951314
53,"HRIC alpha diversity",30,"Day 1-30",0.0360767577980689
53,"HRIC distance to personal baseline",30,"Day 1-30",-0.489431314771131
53,"HRIC alpha diversity",60,"Day 1-60",0.0239317991452422
53,"HRIC distance to personal baseline",60,"Day 1-60",-0.307774137254403
54,"HRIC alpha diversity",30,"Day 1-30",0.0126012340237522
54,"HRIC distance to personal baseline",30,"Day 1-30",-0.458566287249657
54,"HRIC alpha diversity",60,"Day 1-60",0.00317477101522361
54,"HRIC distance to personal baseline",60,"Day 1-60",-0.302599366807736
55,"HRIC alpha diversity",30,"Day 1-30",0.0176254213276021
55,"HRIC distance to personal baseline",30,"Day 1-30",-0.467183272877631
55,"HRIC alpha diversity",60,"Day 1-60",0.0189503411805532
55,"HRIC distance to personal baseline",60,"Day 1-60",-0.454366420245975
56,"HRIC alpha diversity",30,"Day 1-30",0.0278107893787698
56,"HRIC distance to personal baseline",30,"Day 1-30",-0.50267555964298
56,"HRIC alpha diversity",60,"Day 1-60",0.0213017283837738
56,"HRIC distance to personal baseline",60,"Day 1-60",-0.39850258871232
57,"HRIC alpha diversity",30,"Day 1-30",-0.00315595926831887
57,"HRIC distance to personal baseline",30,"Day 1-30",-0.367581413736972
57,"HRIC alpha diversity",60,"Day 1-60",-0.00776670866072941
57,"HRIC distance to personal baseline",60,"Day 1-60",-0.292688608443914
58,"HRIC alpha diversity",30,"Day 1-30",0.0231177929362205
58,"HRIC distance to personal baseline",30,"Day 1-30",-0.596930281395067
58,"HRIC alpha diversity",60,"Day 1-60",0.0119968414885323
58,"HRIC distance to personal baseline",60,"Day 1-60",-0.468757675912356
59,"HRIC alpha diversity",30,"Day 1-30",0.0290776396294816
59,"HRIC distance to personal baseline",30,"Day 1-30",-0.590575179464096
59,"HRIC alpha diversity",60,"Day 1-60",0.0194755153704643
59,"HRIC distance to personal baseline",60,"Day 1-60",-0.42131424262418
60,"HRIC alpha diversity",30,"Day 1-30",0.025693621040506
