"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
2806,"HRIC alpha diversity",60,"Day 1-60",0.00970453290326199
2806,"HRIC distance to personal baseline",60,"Day 1-60",-0.402658948897161
2807,"HRIC alpha diversity",30,"Day 1-30",0.0225444197761263
2807,"HRIC distance to personal baseline",30,"Day 1-30",-0.449275750513299
2807,"HRIC alpha diversity",60,"Day 1-60",0.0162723982282411
2807,"HRIC distance to personal baseline",60,"Day 1-60",-0.404827495937398
2808,"HRIC alpha diversity",30,"Day 1-30",0.0144532746796971
2808,"HRIC distance to personal baseline",30,"Day 1-30",-0.414325867024459
2808,"HRIC alpha diversity",60,"Day 1-60",0.00755431839452176
2808,"HRIC distance to personal baseline",60,"Day 1-60",-0.316997868348664
2809,"HRIC alpha diversity",30,"Day 1-30",0.0067017757052614
2809,"HRIC distance to personal baseline",30,"Day 1-30",-0.356943453017055
2809,"HRIC alpha diversity",60,"Day 1-60",0.00524499327461251
2809,"HRIC distance to personal baseline",60,"Day 1-60",-0.327487355531581
2810,"HRIC alpha diversity",30,"Day 1-30",0.0282492658015406
2810,"HRIC distance to personal baseline",30,"Day 1-30",-0.575418866487379
2810,"HRIC alpha diversity",60,"Day 1-60",0.0121458756502383
2810,"HRIC distance to personal baseline",60,"Day 1-60",-0.409208190799146
2811,"HRIC alpha diversity",30,"Day 1-30",0.01898755801553
2811,"HRIC distance to personal baseline",30,"Day 1-30",-0.508564855507337
2811,"HRIC alpha diversity",60,"Day 1-60",-0.000911369935644984
2811,"HRIC distance to personal baseline",60,"Day 1-60",-0.38411946604079
2812,"HRIC alpha diversity",30,"Day 1-30",0.0185533868905833
2812,"HRIC distance to personal baseline",30,"Day 1-30",-0.334428789799344
2812,"HRIC alpha diversity",60,"Day 1-60",0.0128735667695647
2812,"HRIC distance to personal baseline",60,"Day 1-60",-0.26682534227334
2813,"HRIC alpha diversity",30,"Day 1-30",0.0209686241605155
2813,"HRIC distance to personal baseline",30,"Day 1-30",-0.561535748280754
2813,"HRIC alpha diversity",60,"Day 1-60",0.00637305994187459
2813,"HRIC distance to personal baseline",60,"Day 1-60",-0.353377910755037
2814,"HRIC alpha diversity",30,"Day 1-30",0.0169566558068114
2814,"HRIC distance to personal baseline",30,"Day 1-30",-0.537517271788413
2814,"HRIC alpha diversity",60,"Day 1-60",0.0016893741473648
2814,"HRIC distance to personal baseline",60,"Day 1-60",-0.35787943626373
2815,"HRIC alpha diversity",30,"Day 1-30",0.0194002394844083
2815,"HRIC distance to personal baseline",30,"Day 1-30",-0.395877395312799
2815,"HRIC alpha diversity",60,"Day 1-60",0.0238612779363207
2815,"HRIC distance to personal baseline",60,"Day 1-60",-0.390543951908626
2816,"HRIC alpha diversity",30,"Day 1-30",0.00348530474333842
2816,"HRIC distance to personal baseline",30,"Day 1-30",-0.362476971763518
2816,"HRIC alpha diversity",60,"Day 1-60",0.00309326554669794
2816,"HRIC distance to personal baseline",60,"Day 1-60",-0.343374261634195
2817,"HRIC alpha diversity",30,"Day 1-30",0.0281259631447198
2817,"HRIC distance to personal baseline",30,"Day 1-30",-0.599637693407479
2817,"HRIC alpha diversity",60,"Day 1-60",0.0158931214777564
2817,"HRIC distance to personal baseline",60,"Day 1-60",-0.450610128309535
2818,"HRIC alpha diversity",30,"Day 1-30",0.0125277310544277
2818,"HRIC distance to personal baseline",30,"Day 1-30",-0.488513840346927
2818,"HRIC alpha diversity",60,"Day 1-60",0.00941559011355915
2818,"HRIC distance to personal baseline",60,"Day 1-60",-0.367690838094737
2819,"HRIC alpha diversity",30,"Day 1-30",0.0108538512564388
2819,"HRIC distance to personal baseline",30,"Day 1-30",-0.497750143830343
2819,"HRIC alpha diversity",60,"Day 1-60",-0.000443894953514306
2819,"HRIC distance to personal baseline",60,"Day 1-60",-0.309130434348155
2820,"HRIC alpha diversity",30,"Day 1-30",0.0277796156171016
2820,"HRIC distance to personal baseline",30,"Day 1-30",-0.397345058577967
2820,"HRIC alpha diversity",60,"Day 1-60",0.0137409656480946
2820,"HRIC distance to personal baseline",60,"Day 1-60",-0.22319853227894
2821,"HRIC alpha diversity",30,"Day 1-30",0.0097353521972732
2821,"HRIC distance to personal baseline",30,"Day 1-30",-0.47755596573948
2821,"HRIC alpha diversity",60,"Day 1-60",0.00994762049491478
2821,"HRIC distance to personal baseline",60,"Day 1-60",-0.456132551756197
2822,"HRIC alpha diversity",30,"Day 1-30",0.030775230053824
2822,"HRIC distance to personal baseline",30,"Day 1-30",-0.589142526124958
2822,"HRIC alpha diversity",60,"Day 1-60",0.0108911034391171
2822,"HRIC distance to personal baseline",60,"Day 1-60",-0.338335186395162
2823,"HRIC alpha diversity",30,"Day 1-30",0.0236802537466957
2823,"HRIC distance to personal baseline",30,"Day 1-30",-0.420301561159478
2823,"HRIC alpha diversity",60,"Day 1-60",0.019109682137463
2823,"HRIC distance to personal baseline",60,"Day 1-60",-0.319552554931571
2824,"HRIC alpha diversity",30,"Day 1-30",0.0283584270291483
2824,"HRIC distance to personal baseline",30,"Day 1-30",-0.492644550500625
2824,"HRIC alpha diversity",60,"Day 1-60",0.0104518901194726
2824,"HRIC distance to personal baseline",60,"Day 1-60",-0.283626878628533
2825,"HRIC alpha diversity",30,"Day 1-30",0.0218483675446391
2825,"HRIC distance to personal baseline",30,"Day 1-30",-0.450174709194034
2825,"HRIC alpha diversity",60,"Day 1-60",0.02460125203914
2825,"HRIC distance to personal baseline",60,"Day 1-60",-0.418580115466511
2826,"HRIC alpha diversity",30,"Day 1-30",0.0309738110896734
2826,"HRIC distance to personal baseline",30,"Day 1-30",-0.437564597289767
2826,"HRIC alpha diversity",60,"Day 1-60",0.0208918091859348
2826,"HRIC distance to personal baseline",60,"Day 1-60",-0.284470340890513
2827,"HRIC alpha diversity",30,"Day 1-30",0.0181424402126024
2827,"HRIC distance to personal baseline",30,"Day 1-30",-0.393150969871004
2827,"HRIC alpha diversity",60,"Day 1-60",0.0154516080590293
2827,"HRIC distance to personal baseline",60,"Day 1-60",-0.33641904987477
2828,"HRIC alpha diversity",30,"Day 1-30",0.0306182222148389
2828,"HRIC distance to personal baseline",30,"Day 1-30",-0.60908213019549
2828,"HRIC alpha diversity",60,"Day 1-60",0.0157020101346204
2828,"HRIC distance to personal baseline",60,"Day 1-60",-0.421302673475905
2829,"HRIC alpha diversity",30,"Day 1-30",0.0170808533961205
2829,"HRIC distance to personal baseline",30,"Day 1-30",-0.540055068876244
2829,"HRIC alpha diversity",60,"Day 1-60",0.00621862897187187
2829,"HRIC distance to personal baseline",60,"Day 1-60",-0.415118262419491
2830,"HRIC alpha diversity",30,"Day 1-30",0.0127467700817398
2830,"HRIC distance to personal baseline",30,"Day 1-30",-0.325925670951082
2830,"HRIC alpha diversity",60,"Day 1-60",6.09134798103296e-05
2830,"HRIC distance to personal baseline",60,"Day 1-60",-0.211655888372818
2831,"HRIC alpha diversity",30,"Day 1-30",0.0105787421716944
2831,"HRIC distance to personal baseline",30,"Day 1-30",-0.45666180554591
2831,"HRIC alpha diversity",60,"Day 1-60",0.0162039623422324
2831,"HRIC distance to personal baseline",60,"Day 1-60",-0.403466069999625
2832,"HRIC alpha diversity",30,"Day 1-30",0.0319305596284574
2832,"HRIC distance to personal baseline",30,"Day 1-30",-0.453220539544344
2832,"HRIC alpha diversity",60,"Day 1-60",0.0166399753912783
2832,"HRIC distance to personal baseline",60,"Day 1-60",-0.324615048653896
2833,"HRIC alpha diversity",30,"Day 1-30",-0.00920353646532247
2833,"HRIC distance to personal baseline",30,"Day 1-30",-0.219200925383081
2833,"HRIC alpha diversity",60,"Day 1-60",0.00429762223911103
2833,"HRIC distance to personal baseline",60,"Day 1-60",-0.194728629793992
2834,"HRIC alpha diversity",30,"Day 1-30",-0.00222316959565964
2834,"HRIC distance to personal baseline",30,"Day 1-30",-0.43183908624175
2834,"HRIC alpha diversity",60,"Day 1-60",0.0117648777169978
2834,"HRIC distance to personal baseline",60,"Day 1-60",-0.455385444789551
2835,"HRIC alpha diversity",30,"Day 1-30",0.0126773022335416
2835,"HRIC distance to personal baseline",30,"Day 1-30",-0.45359178369907
2835,"HRIC alpha diversity",60,"Day 1-60",0.00968727829126587
2835,"HRIC distance to personal baseline",60,"Day 1-60",-0.424726350348049
2836,"HRIC alpha diversity",30,"Day 1-30",0.0176830856797879
2836,"HRIC distance to personal baseline",30,"Day 1-30",-0.508509496533451
2836,"HRIC alpha diversity",60,"Day 1-60",0.00387109780433986
2836,"HRIC distance to personal baseline",60,"Day 1-60",-0.373936712185767
2837,"HRIC alpha diversity",30,"Day 1-30",0.0211337741950773
2837,"HRIC distance to personal baseline",30,"Day 1-30",-0.495086761901031
2837,"HRIC alpha diversity",60,"Day 1-60",0.00338788375954849
2837,"HRIC distance to personal baseline",60,"Day 1-60",-0.285376838660974
2838,"HRIC alpha diversity",30,"Day 1-30",0.0149753107397803
2838,"HRIC distance to personal baseline",30,"Day 1-30",-0.283166180569872
2838,"HRIC alpha diversity",60,"Day 1-60",0.00988768701414525
2838,"HRIC distance to personal baseline",60,"Day 1-60",-0.220086088016596
2839,"HRIC alpha diversity",30,"Day 1-30",0.0241367776475394
2839,"HRIC distance to personal baseline",30,"Day 1-30",-0.423118710065955
2839,"HRIC alpha diversity",60,"Day 1-60",0.0234494793711678
2839,"HRIC distance to personal baseline",60,"Day 1-60",-0.334461264982302
2840,"HRIC alpha diversity",30,"Day 1-30",0.0109184330296828
2840,"HRIC distance to personal baseline",30,"Day 1-30",-0.296640763335952
2840,"HRIC alpha diversity",60,"Day 1-60",0.00172442532221953
2840,"HRIC distance to personal baseline",60,"Day 1-60",-0.222630787826761
2841,"HRIC alpha diversity",30,"Day 1-30",0.00396614303304179
2841,"HRIC distance to personal baseline",30,"Day 1-30",-0.333978164577338
2841,"HRIC alpha diversity",60,"Day 1-60",0.00115911487507073
2841,"HRIC distance to personal baseline",60,"Day 1-60",-0.340371374873379
2842,"HRIC alpha diversity",30,"Day 1-30",0.00940454066262767
2842,"HRIC distance to personal baseline",30,"Day 1-30",-0.321481895297354
2842,"HRIC alpha diversity",60,"Day 1-60",0.00538927603776184
2842,"HRIC distance to personal baseline",60,"Day 1-60",-0.281645812157986
2843,"HRIC alpha diversity",30,"Day 1-30",0.0041616550952386
2843,"HRIC distance to personal baseline",30,"Day 1-30",-0.3564015736482
2843,"HRIC alpha diversity",60,"Day 1-60",0.0067653761588905
2843,"HRIC distance to personal baseline",60,"Day 1-60",-0.330713519219873
2844,"HRIC alpha diversity",30,"Day 1-30",0.00556982545900689
2844,"HRIC distance to personal baseline",30,"Day 1-30",-0.338526695137019
2844,"HRIC alpha diversity",60,"Day 1-60",0.00105756646074235
2844,"HRIC distance to personal baseline",60,"Day 1-60",-0.236855649625288
2845,"HRIC alpha diversity",30,"Day 1-30",0.0172692362762488
2845,"HRIC distance to personal baseline",30,"Day 1-30",-0.429156000370131
2845,"HRIC alpha diversity",60,"Day 1-60",0.0110195390701718
2845,"HRIC distance to personal baseline",60,"Day 1-60",-0.306198229970944
2846,"HRIC alpha diversity",30,"Day 1-30",0.0262161436044535
2846,"HRIC distance to personal baseline",30,"Day 1-30",-0.659336292594031
2846,"HRIC alpha diversity",60,"Day 1-60",0.00998130526304626
2846,"HRIC distance to personal baseline",60,"Day 1-60",-0.481776804495484
2847,"HRIC alpha diversity",30,"Day 1-30",0.0173127169369567
2847,"HRIC distance to personal baseline",30,"Day 1-30",-0.527630633918263
2847,"HRIC alpha diversity",60,"Day 1-60",0.0031850275753011
2847,"HRIC distance to personal baseline",60,"Day 1-60",-0.337358186947068
2848,"HRIC alpha diversity",30,"Day 1-30",0.0201721479359203
2848,"HRIC distance to personal baseline",30,"Day 1-30",-0.498732084770218
2848,"HRIC alpha diversity",60,"Day 1-60",0.0050369229874148
2848,"HRIC distance to personal baseline",60,"Day 1-60",-0.296144607256034
2849,"HRIC alpha diversity",30,"Day 1-30",0.0229800043619234
2849,"HRIC distance to personal baseline",30,"Day 1-30",-0.440646153053106
2849,"HRIC alpha diversity",60,"Day 1-60",0.0143000360359999
2849,"HRIC distance to personal baseline",60,"Day 1-60",-0.297209723833406
2850,"HRIC alpha diversity",30,"Day 1-30",0.0253188822256556
2850,"HRIC distance to personal baseline",30,"Day 1-30",-0.574985676349096
2850,"HRIC alpha diversity",60,"Day 1-60",-6.79688459426231e-06
2850,"HRIC distance to personal baseline",60,"Day 1-60",-0.385875523654809
2851,"HRIC alpha diversity",30,"Day 1-30",0.0156048968727
2851,"HRIC distance to personal baseline",30,"Day 1-30",-0.445271364767444
2851,"HRIC alpha diversity",60,"Day 1-60",0.0172180746138597
2851,"HRIC distance to personal baseline",60,"Day 1-60",-0.446432197691391
2852,"HRIC alpha diversity",30,"Day 1-30",0.0153908278549719
2852,"HRIC distance to personal baseline",30,"Day 1-30",-0.362751540180595
2852,"HRIC alpha diversity",60,"Day 1-60",0.00679414440860856
2852,"HRIC distance to personal baseline",60,"Day 1-60",-0.267874384036975
2853,"HRIC alpha diversity",30,"Day 1-30",0.0121957458068291
2853,"HRIC distance to personal baseline",30,"Day 1-30",-0.438613510175054
2853,"HRIC alpha diversity",60,"Day 1-60",0.00669456136004794
2853,"HRIC distance to personal baseline",60,"Day 1-60",-0.363803623258167
2854,"HRIC alpha diversity",30,"Day 1-30",0.00303117511980224
2854,"HRIC distance to personal baseline",30,"Day 1-30",-0.214133035050828
2854,"HRIC alpha diversity",60,"Day 1-60",-0.00181200850397993
2854,"HRIC distance to personal baseline",60,"Day 1-60",-0.210239207592789
2855,"HRIC alpha diversity",30,"Day 1-30",0.00820893904337521
2855,"HRIC distance to personal baseline",30,"Day 1-30",-0.241827020160232
2855,"HRIC alpha diversity",60,"Day 1-60",-0.00107512770530844
2855,"HRIC distance to personal baseline",60,"Day 1-60",-0.196035546232337
2856,"HRIC alpha diversity",30,"Day 1-30",0.0139004872166636
2856,"HRIC distance to personal baseline",30,"Day 1-30",-0.495146893093744
2856,"HRIC alpha diversity",60,"Day 1-60",0.00226363665027634
2856,"HRIC distance to personal baseline",60,"Day 1-60",-0.3267122757502
2857,"HRIC alpha diversity",30,"Day 1-30",0.0198472940216236
2857,"HRIC distance to personal baseline",30,"Day 1-30",-0.323585637115563
2857,"HRIC alpha diversity",60,"Day 1-60",0.0128706236273594
2857,"HRIC distance to personal baseline",60,"Day 1-60",-0.241685856994748
2858,"HRIC alpha diversity",30,"Day 1-30",0.0149140304951147
2858,"HRIC distance to personal baseline",30,"Day 1-30",-0.526433619933014
2858,"HRIC alpha diversity",60,"Day 1-60",0.0074877656963136
2858,"HRIC distance to personal baseline",60,"Day 1-60",-0.368216457953196
2859,"HRIC alpha diversity",30,"Day 1-30",0.0235804094868446
2859,"HRIC distance to personal baseline",30,"Day 1-30",-0.444976084324607
2859,"HRIC alpha diversity",60,"Day 1-60",0.00396493486312186
2859,"HRIC distance to personal baseline",60,"Day 1-60",-0.235359114786559
2860,"HRIC alpha diversity",30,"Day 1-30",0.0216686871601609
2860,"HRIC distance to personal baseline",30,"Day 1-30",-0.379179837914664
2860,"HRIC alpha diversity",60,"Day 1-60",0.0190539040602374
2860,"HRIC distance to personal baseline",60,"Day 1-60",-0.26944086672524
2861,"HRIC alpha diversity",30,"Day 1-30",0.0258573182868344
2861,"HRIC distance to personal baseline",30,"Day 1-30",-0.469464949822637
2861,"HRIC alpha diversity",60,"Day 1-60",0.0235337905906239
2861,"HRIC distance to personal baseline",60,"Day 1-60",-0.385050870253374
2862,"HRIC alpha diversity",30,"Day 1-30",0.0246186351317202
2862,"HRIC distance to personal baseline",30,"Day 1-30",-0.506837297244621
2862,"HRIC alpha diversity",60,"Day 1-60",0.0220017593674647
2862,"HRIC distance to personal baseline",60,"Day 1-60",-0.491924750699778
2863,"HRIC alpha diversity",30,"Day 1-30",0.0217448694883636
2863,"HRIC distance to personal baseline",30,"Day 1-30",-0.529654602065401
2863,"HRIC alpha diversity",60,"Day 1-60",0.0168049286947605
2863,"HRIC distance to personal baseline",60,"Day 1-60",-0.427864612244237
2864,"HRIC alpha diversity",30,"Day 1-30",0.0271952931326778
2864,"HRIC distance to personal baseline",30,"Day 1-30",-0.565023603012977
2864,"HRIC alpha diversity",60,"Day 1-60",0.0207326056040036
2864,"HRIC distance to personal baseline",60,"Day 1-60",-0.483475187818588
2865,"HRIC alpha diversity",30,"Day 1-30",0.00212139902979693
2865,"HRIC distance to personal baseline",30,"Day 1-30",-0.208662011145902
2865,"HRIC alpha diversity",60,"Day 1-60",-0.00567239525407156
2865,"HRIC distance to personal baseline",60,"Day 1-60",-0.182697543905098
2866,"HRIC alpha diversity",30,"Day 1-30",0.0377337154071122
2866,"HRIC distance to personal baseline",30,"Day 1-30",-0.646523848444873
2866,"HRIC alpha diversity",60,"Day 1-60",0.0142396901958937
2866,"HRIC distance to personal baseline",60,"Day 1-60",-0.428791793375198
2867,"HRIC alpha diversity",30,"Day 1-30",0.0137099332232719
2867,"HRIC distance to personal baseline",30,"Day 1-30",-0.620770937587943
2867,"HRIC alpha diversity",60,"Day 1-60",0.0161753756760502
2867,"HRIC distance to personal baseline",60,"Day 1-60",-0.565242345662901
2868,"HRIC alpha diversity",30,"Day 1-30",0.0302534123542042
2868,"HRIC distance to personal baseline",30,"Day 1-30",-0.527218312631666
2868,"HRIC alpha diversity",60,"Day 1-60",0.0251802144078829
2868,"HRIC distance to personal baseline",60,"Day 1-60",-0.512437044344807
2869,"HRIC alpha diversity",30,"Day 1-30",0.0150625741344946
2869,"HRIC distance to personal baseline",30,"Day 1-30",-0.486087764102689
2869,"HRIC alpha diversity",60,"Day 1-60",0.00700362432656145
2869,"HRIC distance to personal baseline",60,"Day 1-60",-0.328249206574306
2870,"HRIC alpha diversity",30,"Day 1-30",0.00242495284390097
2870,"HRIC distance to personal baseline",30,"Day 1-30",-0.198944208842212
2870,"HRIC alpha diversity",60,"Day 1-60",-0.00357074575068845
2870,"HRIC distance to personal baseline",60,"Day 1-60",-0.191967312691365
2871,"HRIC alpha diversity",30,"Day 1-30",0.0103762436241232
2871,"HRIC distance to personal baseline",30,"Day 1-30",-0.469930741029432
2871,"HRIC alpha diversity",60,"Day 1-60",0.0132277207970194
2871,"HRIC distance to personal baseline",60,"Day 1-60",-0.483729641645926
2872,"HRIC alpha diversity",30,"Day 1-30",0.0281618603210307
2872,"HRIC distance to personal baseline",30,"Day 1-30",-0.48443204958297
2872,"HRIC alpha diversity",60,"Day 1-60",0.016601286552303
2872,"HRIC distance to personal baseline",60,"Day 1-60",-0.321280920191478
2873,"HRIC alpha diversity",30,"Day 1-30",0.0131304817071565
2873,"HRIC distance to personal baseline",30,"Day 1-30",-0.41955042364402
2873,"HRIC alpha diversity",60,"Day 1-60",0.00795479783269382
2873,"HRIC distance to personal baseline",60,"Day 1-60",-0.387970802104278
2874,"HRIC alpha diversity",30,"Day 1-30",0.0130064120310316
2874,"HRIC distance to personal baseline",30,"Day 1-30",-0.544691794787434
2874,"HRIC alpha diversity",60,"Day 1-60",0.0129516171771347
2874,"HRIC distance to personal baseline",60,"Day 1-60",-0.523003186895718
2875,"HRIC alpha diversity",30,"Day 1-30",0.0147613332351319
2875,"HRIC distance to personal baseline",30,"Day 1-30",-0.333792854049483
2875,"HRIC alpha diversity",60,"Day 1-60",0.00667722762978906
2875,"HRIC distance to personal baseline",60,"Day 1-60",-0.281672717815286
2876,"HRIC alpha diversity",30,"Day 1-30",0.0321336131239493
2876,"HRIC distance to personal baseline",30,"Day 1-30",-0.642064426996745
2876,"HRIC alpha diversity",60,"Day 1-60",0.0136555886135337
2876,"HRIC distance to personal baseline",60,"Day 1-60",-0.425692107259419
2877,"HRIC alpha diversity",30,"Day 1-30",0.0200971735899439
2877,"HRIC distance to personal baseline",30,"Day 1-30",-0.404176487157589
2877,"HRIC alpha diversity",60,"Day 1-60",0.0190741719588632
2877,"HRIC distance to personal baseline",60,"Day 1-60",-0.329614845275241
2878,"HRIC alpha diversity",30,"Day 1-30",0.0240027716849362
2878,"HRIC distance to personal baseline",30,"Day 1-30",-0.445827702869162
2878,"HRIC alpha diversity",60,"Day 1-60",0.0241937231181218
2878,"HRIC distance to personal baseline",60,"Day 1-60",-0.405305652935709
2879,"HRIC alpha diversity",30,"Day 1-30",0.0325470447814881
2879,"HRIC distance to personal baseline",30,"Day 1-30",-0.37507866009461
2879,"HRIC alpha diversity",60,"Day 1-60",0.0340669687976925
2879,"HRIC distance to personal baseline",60,"Day 1-60",-0.39442920668238
2880,"HRIC alpha diversity",30,"Day 1-30",0.012600328266284
2880,"HRIC distance to personal baseline",30,"Day 1-30",-0.340630941843674
2880,"HRIC alpha diversity",60,"Day 1-60",0.0176589685077996
2880,"HRIC distance to personal baseline",60,"Day 1-60",-0.405711467135407
2881,"HRIC alpha diversity",30,"Day 1-30",0.0258433897994136
2881,"HRIC distance to personal baseline",30,"Day 1-30",-0.599231706012922
2881,"HRIC alpha diversity",60,"Day 1-60",0.0048337651732617
2881,"HRIC distance to personal baseline",60,"Day 1-60",-0.372569674610279
2882,"HRIC alpha diversity",30,"Day 1-30",0.0130076336641856
2882,"HRIC distance to personal baseline",30,"Day 1-30",-0.361458037737627
2882,"HRIC alpha diversity",60,"Day 1-60",0.00312609354346099
2882,"HRIC distance to personal baseline",60,"Day 1-60",-0.299155269498243
2883,"HRIC alpha diversity",30,"Day 1-30",0.0365339438522073
2883,"HRIC distance to personal baseline",30,"Day 1-30",-0.375013519941557
2883,"HRIC alpha diversity",60,"Day 1-60",0.0333040740691707
2883,"HRIC distance to personal baseline",60,"Day 1-60",-0.351114125520471
2884,"HRIC alpha diversity",30,"Day 1-30",0.0153852506734889
2884,"HRIC distance to personal baseline",30,"Day 1-30",-0.597411852272111
2884,"HRIC alpha diversity",60,"Day 1-60",0.00145386400670454
2884,"HRIC distance to personal baseline",60,"Day 1-60",-0.436190451079017
2885,"HRIC alpha diversity",30,"Day 1-30",0.0251987735851281
2885,"HRIC distance to personal baseline",30,"Day 1-30",-0.304005015480285
2885,"HRIC alpha diversity",60,"Day 1-60",0.0240450717504736
2885,"HRIC distance to personal baseline",60,"Day 1-60",-0.287327468806924
2886,"HRIC alpha diversity",30,"Day 1-30",0.0261626510676597
2886,"HRIC distance to personal baseline",30,"Day 1-30",-0.59459623775216
2886,"HRIC alpha diversity",60,"Day 1-60",0.0121586191402838
2886,"HRIC distance to personal baseline",60,"Day 1-60",-0.403851134976548
2887,"HRIC alpha diversity",30,"Day 1-30",0.0287151871853396
2887,"HRIC distance to personal baseline",30,"Day 1-30",-0.497511839449785
2887,"HRIC alpha diversity",60,"Day 1-60",0.0198679119639488
2887,"HRIC distance to personal baseline",60,"Day 1-60",-0.361921740514006
2888,"HRIC alpha diversity",30,"Day 1-30",0.0165347420393094
2888,"HRIC distance to personal baseline",30,"Day 1-30",-0.274834642349767
2888,"HRIC alpha diversity",60,"Day 1-60",-0.00361388185248075
2888,"HRIC distance to personal baseline",60,"Day 1-60",-0.121637768154413
2889,"HRIC alpha diversity",30,"Day 1-30",0.0128293190852737
2889,"HRIC distance to personal baseline",30,"Day 1-30",-0.298314980910064
2889,"HRIC alpha diversity",60,"Day 1-60",0.00336230225573039
2889,"HRIC distance to personal baseline",60,"Day 1-60",-0.20670909812293
2890,"HRIC alpha diversity",30,"Day 1-30",0.0158333272526543
2890,"HRIC distance to personal baseline",30,"Day 1-30",-0.564801926285574
2890,"HRIC alpha diversity",60,"Day 1-60",0.0163166609881903
2890,"HRIC distance to personal baseline",60,"Day 1-60",-0.508439837917541
2891,"HRIC alpha diversity",30,"Day 1-30",0.017577022685793
2891,"HRIC distance to personal baseline",30,"Day 1-30",-0.352513405110137
2891,"HRIC alpha diversity",60,"Day 1-60",0.0162299530753421
2891,"HRIC distance to personal baseline",60,"Day 1-60",-0.369695360745422
2892,"HRIC alpha diversity",30,"Day 1-30",0.0347739212024053
2892,"HRIC distance to personal baseline",30,"Day 1-30",-0.475317053980213
2892,"HRIC alpha diversity",60,"Day 1-60",0.0160075597596495
2892,"HRIC distance to personal baseline",60,"Day 1-60",-0.320211153686749
2893,"HRIC alpha diversity",30,"Day 1-30",0.0231684962046869
2893,"HRIC distance to personal baseline",30,"Day 1-30",-0.353424759623885
2893,"HRIC alpha diversity",60,"Day 1-60",0.0169306865720125
2893,"HRIC distance to personal baseline",60,"Day 1-60",-0.333448175621453
2894,"HRIC alpha diversity",30,"Day 1-30",0.0189858988315483
2894,"HRIC distance to personal baseline",30,"Day 1-30",-0.446901767730271
2894,"HRIC alpha diversity",60,"Day 1-60",0.0211434649462396
2894,"HRIC distance to personal baseline",60,"Day 1-60",-0.438060785767334
2895,"HRIC alpha diversity",30,"Day 1-30",0.00598168091976366
2895,"HRIC distance to personal baseline",30,"Day 1-30",-0.388523497565167
2895,"HRIC alpha diversity",60,"Day 1-60",0.00686170197502821
2895,"HRIC distance to personal baseline",60,"Day 1-60",-0.411135861551602
2896,"HRIC alpha diversity",30,"Day 1-30",0.0165221837172485
2896,"HRIC distance to personal baseline",30,"Day 1-30",-0.267436709648041
2896,"HRIC alpha diversity",60,"Day 1-60",0.00781192974325312
2896,"HRIC distance to personal baseline",60,"Day 1-60",-0.176716251515249
2897,"HRIC alpha diversity",30,"Day 1-30",0.0190600262625625
2897,"HRIC distance to personal baseline",30,"Day 1-30",-0.505656788001021
2897,"HRIC alpha diversity",60,"Day 1-60",0.00177252983747689
2897,"HRIC distance to personal baseline",60,"Day 1-60",-0.306155507500372
2898,"HRIC alpha diversity",30,"Day 1-30",0.0117773648218732
2898,"HRIC distance to personal baseline",30,"Day 1-30",-0.327843437958965
2898,"HRIC alpha diversity",60,"Day 1-60",-0.00445032428392881
2898,"HRIC distance to personal baseline",60,"Day 1-60",-0.15609667247108
2899,"HRIC alpha diversity",30,"Day 1-30",0.0296857763813818
2899,"HRIC distance to personal baseline",30,"Day 1-30",-0.487137437407948
2899,"HRIC alpha diversity",60,"Day 1-60",0.00998063896334906
2899,"HRIC distance to personal baseline",60,"Day 1-60",-0.333158865281522
2900,"HRIC alpha diversity",30,"Day 1-30",0.0260498912025468
2900,"HRIC distance to personal baseline",30,"Day 1-30",-0.525745164564644
2900,"HRIC alpha diversity",60,"Day 1-60",0.0258315277962269
2900,"HRIC distance to personal baseline",60,"Day 1-60",-0.454265537999755
2901,"HRIC alpha diversity",30,"Day 1-30",0.0301243225929056
2901,"HRIC distance to personal baseline",30,"Day 1-30",-0.508504271056575
2901,"HRIC alpha diversity",60,"Day 1-60",0.0151048282940022
2901,"HRIC distance to personal baseline",60,"Day 1-60",-0.381146777868742
2902,"HRIC alpha diversity",30,"Day 1-30",0.0158297682958394
2902,"HRIC distance to personal baseline",30,"Day 1-30",-0.375252401799687
2902,"HRIC alpha diversity",60,"Day 1-60",0.00534170223456712
2902,"HRIC distance to personal baseline",60,"Day 1-60",-0.308195630768575
2903,"HRIC alpha diversity",30,"Day 1-30",0.0081752428733986
2903,"HRIC distance to personal baseline",30,"Day 1-30",-0.392846454481598
2903,"HRIC alpha diversity",60,"Day 1-60",0.00176153469284869
2903,"HRIC distance to personal baseline",60,"Day 1-60",-0.288356674326385
2904,"HRIC alpha diversity",30,"Day 1-30",0.0238019681576907
2904,"HRIC distance to personal baseline",30,"Day 1-30",-0.403782818362766
2904,"HRIC alpha diversity",60,"Day 1-60",0.0186458541528289
2904,"HRIC distance to personal baseline",60,"Day 1-60",-0.347188932609214
2905,"HRIC alpha diversity",30,"Day 1-30",0.0334659937300463
2905,"HRIC distance to personal baseline",30,"Day 1-30",-0.55918231218187
2905,"HRIC alpha diversity",60,"Day 1-60",0.0183196706644276
2905,"HRIC distance to personal baseline",60,"Day 1-60",-0.376293945831788
