"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC alpha diversity",12,"Control",0.0544907199236134,0.0434597620949502,0.0655216777522767
"HRIC alpha diversity",12,"Auto-FMT",0.0790507707241005,0.0666625559852261,0.0914389854629749
"HRIC alpha diversity",13,"Control",0.0553028659967405,0.0433882021897179,0.0672175298037632
"HRIC alpha diversity",13,"Auto-FMT",0.0785227434185502,0.0650625718481483,0.0919829149889521
"HRIC alpha diversity",14,"Control",0.0561150120698676,0.0431951412036627,0.0690348829360725
"HRIC alpha diversity",14,"Auto-FMT",0.0779947161129999,0.0634022209244444,0.0925872113015554
"HRIC alpha diversity",15,"Control",0.0561044720593919,0.0435187048881565,0.0686902392306272
"HRIC alpha diversity",15,"Auto-FMT",0.0774689933132138,0.0632953550166017,0.0916426316098259
"HRIC alpha diversity",16,"Control",0.0560939320489161,0.0438327555011027,0.0683551085967295
"HRIC alpha diversity",16,"Auto-FMT",0.0769432705134277,0.0631815520650941,0.0907049889617613
"HRIC alpha diversity",17,"Control",0.0560833920384404,0.0441365176210992,0.0680302664557815
"HRIC alpha diversity",17,"Auto-FMT",0.0764175477136416,0.0630601702729885,0.0897749251542946
"HRIC alpha diversity",18,"Control",0.0560728520279646,0.044429158056129,0.0677165459998002
"HRIC alpha diversity",18,"Auto-FMT",0.0758918249138554,0.0629305003331741,0.0888531494945368
"HRIC alpha diversity",19,"Control",0.0560623120174888,0.0447097857244223,0.0674148383105554
"HRIC alpha diversity",19,"Auto-FMT",0.0753661021140693,0.0627917590683144,0.0879404451598242
"HRIC alpha diversity",20,"Control",0.0560517720070131,0.0449774530609675,0.0671260909530587
"HRIC alpha diversity",20,"Auto-FMT",0.0748403793142832,0.0626430830347087,0.0870376755938577
"HRIC alpha diversity",21,"Control",0.0560412319965373,0.045231159380607,0.0668513046124677
"HRIC alpha diversity",21,"Auto-FMT",0.0743146565144971,0.0624835223599046,0.0861457906690895
"HRIC alpha diversity",22,"Control",0.0560306919860616,0.0454698566609749,0.0665915273111483
"HRIC alpha diversity",22,"Auto-FMT",0.073788933714711,0.06231203519686,0.0852658322325619
