"Taxon","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"AF468306.1.1440",198,65,0.375722543352601,4.07208819097829e-05,"Bacteria","Proteobacteria","AEGEAN-245","uncultured",NA,NA
"AF472553.1.1817",79,46,0.265895953757225,2.05949120568457e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AF472555.1.1812",151,18,0.104046242774566,4.55269243128051e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AF514341.1.1802",685,45,0.260115606936416,0.000193073019946255,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF530130.1.1397",184,22,0.127167630057803,5.29671020462708e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","cf."
"AF530524.1.1703",513,24,0.138728323699422,0.000115926117003278,"Eukaryota","SAR","Rhizaria","Retaria","Polycystinea","Collodaria"
"AF539773.1.1484",81,28,0.161849710982659,2.34250609674069e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"AFNV02000017.17008.18531",886,69,0.398843930635838,0.00019604739980974,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera"
"AFXB01000010.558617.560090",3948,95,0.549132947976879,0.00116823725955658,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"AGAU01000387.3534.5025",3070,93,0.53757225433526,0.00069116007910446,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"AHAL01010410.794.2002",78,38,0.219653179190751,1.97633593146702e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Isochrysidales","Emiliania","Emiliania"
"AHCG01000072.3865.5305",1046,49,0.283236994219653,0.000273827809067291,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AJ133625.1.1270",1113,84,0.485549132947977,0.0002949947683545,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AJ240999.1.1501",198,48,0.277456647398844,5.17663659748303e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"AJ244703.1.1492",294,31,0.179190751445087,6.30658364772218e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella"
"AJ246273.1.1799",685,90,0.520231213872832,0.000173704965579249,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulina","Chrysochromulina"
"AJ294747.1.1534",89,30,0.173410404624277,2.36760833154833e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassomonas"
"AJ402330.1.1758",67,28,0.161849710982659,1.37378949630164e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales"
"AJ402338.1.1758",83,42,0.242774566473988,2.30624219607758e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AJ402339.1.1758",902,78,0.450867052023121,0.000216995854574404,"Eukaryota","SAR","Stramenopiles","MAST-1","MAST-1A","eukaryote"
"AJ402351.1.1758",186,55,0.317919075144509,5.16821844570386e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","eukaryote",NA
"AJ402355.1.1758",160,59,0.341040462427746,4.67507633766448e-05,"Eukaryota","SAR","Stramenopiles","MAST-7","MAST-7D","eukaryote"
"AJ536462.1.1456",51,18,0.104046242774566,1.49241584787062e-05,"Bacteria","Cyanobacteria","Chloroplast","Coscinodiscus",NA,NA
"AJ564767.1.1831",163,65,0.375722543352601,4.13174633420558e-05,"Eukaryota","Incertae",NA,NA,NA,NA
"AJ567563.1.1463",81,19,0.109826589595376,1.97529175473295e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"AJ567590.1.1520",86,27,0.15606936416185,1.81311255246891e-05,"Bacteria","PAUC34f","uncultured",NA,NA,NA
"AJ567595.1.1519",161,21,0.121387283236994,3.46730128417062e-05,"Bacteria","Gemmatimonadetes","BD2-11",NA,NA,NA
"AJ567609.1.1486",85,21,0.121387283236994,1.89296936180336e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AJ581349.1.1511",159,62,0.358381502890173,3.3722457503863e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","OM182",NA
"AJ890099.1.1469",513,70,0.404624277456647,0.000108735312213077,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira"
"AJKR01000002.555441.556954",2574,28,0.161849710982659,0.000777210950050977,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus"
