"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AB275046.1.1741",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB275082.1.1713",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB278147.1.1521",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB284159.1.1765",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB297922.1.1501",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB305323.1.1317",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB362815.1.1454",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB430758.1.1627",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"AB461943.1.1310",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB467279.1.1507",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB518965.1.1345",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB520821.1.1813",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB530182.1.1538",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB533979.1.1482",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB545808.1.1443",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB613239.1.1794",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB680865.1.1456",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AB694240.1.1526",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694303.1.1516",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694342.1.1525",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694349.1.1435",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB694354.1.1388",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB694357.1.1427",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB694379.1.1395",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694387.1.1427",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694414.1.1369",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694422.1.1430",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
