"method","MethodLabel","Taxon","baseMean","statistic","p_value","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"DESeq2_LRT","DESeq2","GU145511.1.1482",0.517450580223132,37.175169584976,8.46280809324535e-09,3.60132636376791e-08,TRUE,108,35,0.202312138728324,2.3521858411515e-05,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Longilinea"
"DESeq2_LRT","DESeq2","GU145528.1.1489",6.7684048976522,14.631345199116,0.00066503386116608,0.00134740135902632,TRUE,1234,18,0.104046242774566,0.000293036909468962,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","uncultured"
"DESeq2_LRT","DESeq2","GU225825.1.1509",0.339088787257517,0.36338576230068,0.833857394417971,0.856543084957021,FALSE,63,21,0.121387283236994,1.61322312497949e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleispira"
"DESeq2_LRT","DESeq2","GU230386.1.1518",0.581091542480538,18.5086980310998,9.5694568600674e-05,0.000224499461982472,TRUE,106,46,0.265895953757225,2.78552299964088e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27"
"DESeq2_LRT","DESeq2","GU230457.1.1520",2.07828916937999,14.7607532007372,0.000623366081892346,0.00126738422229551,TRUE,435,34,0.196531791907514,0.000106781609222474,"Bacteria","Verrucomicrobia","Opitutae","MB11C04",NA,NA
"DESeq2_LRT","DESeq2","GU234217.1.1320",4.43017277695832,21.3910970072145,2.2645520328043e-05,5.7968554780457e-05,TRUE,751,30,0.173410404624277,0.000247664912913854,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"DESeq2_LRT","DESeq2","GU234249.1.1303",3.1358314820521,7.42530205684403,0.0244127185992269,0.0370279413160306,TRUE,559,26,0.15028901734104,0.000172120586957061,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","GU234379.1.1325",1.8230680638922,22.8540860822339,1.08967820060888e-05,2.93263654220415e-05,TRUE,308,19,0.109826589595376,9.76872071399922e-05,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","GU234421.1.1326",0.846585520033787,0.0628515667181375,0.969062874376341,0.97850384197689,FALSE,431,21,0.121387283236994,0.00013419998503168,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","GU234460.1.1330",9.10379382419029,5.11428667984808,0.0775258895325029,0.104775644387016,FALSE,1442,46,0.265895953757225,0.000441149193380541,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
