"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
19,"ILR",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
20,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
20,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
20,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
20,"ILR",0,NA,0,0,25,0,1,1,1,0.2
21,"AHC",0,NA,0,0,25,0,1,1,1,0.2
21,"ALR",0,NA,0,0,25,0,1,1,1,0.2
21,"CLR",0,NA,0,0,25,0,1,1,1,0.2
21,"ILR",0,1,0,1,25,1,1,1,1,0.2
22,"AHC",0,NA,0,0,25,0,1,1,1,0.2
22,"ALR",0,NA,0,0,25,0,1,1,1,0.2
22,"CLR",0,NA,0,0,25,0,1,1,1,0.2
22,"ILR",0,1,0,1,25,1,1,1,1,0.2
23,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
23,"ALR",0.8,0.0476190476190476,20,1,5,21,1,1,1,0.2
23,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
23,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
24,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
24,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
24,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
24,"ILR",0.04,0,1,0,24,1,1,1,1,0.2
25,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
25,"ALR",0.2,0,5,0,20,5,1,1,1,0.2
25,"CLR",0,NA,0,0,25,0,1,1,1,0.2
25,"ILR",0,1,0,1,25,1,1,1,1,0.2
26,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
26,"ALR",0,NA,0,0,25,0,1,1,1,0.2
26,"CLR",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
26,"ILR",0,1,0,3,25,3,1,1,1,0.2
27,"AHC",0,1,0,1,25,1,1,1,1,0.2
27,"ALR",0.16,0,4,0,21,4,1,1,1,0.2
27,"CLR",0,1,0,1,25,1,1,1,1,0.2
27,"ILR",0,1,0,1,25,1,1,1,1,0.2
28,"AHC",0,1,0,1,25,1,1,1,1,0.2
28,"ALR",0.28,0,7,0,18,7,1,1,1,0.2
28,"CLR",0,NA,0,0,25,0,1,1,1,0.2
28,"ILR",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
29,"AHC",0,1,0,1,25,1,1,1,1,0.2
29,"ALR",0,NA,0,0,25,0,1,1,1,0.2
29,"CLR",0,NA,0,0,25,0,1,1,1,0.2
29,"ILR",0,NA,0,0,25,0,1,1,1,0.2
30,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
30,"ALR",0,NA,0,0,25,0,1,1,1,0.2
30,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
30,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
31,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
31,"ALR",0,NA,0,0,25,0,1,1,1,0.2
31,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
31,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
32,"AHC",0,NA,0,0,25,0,1,1,1,0.2
32,"ALR",0,NA,0,0,25,0,1,1,1,0.2
32,"CLR",0,NA,0,0,25,0,1,1,1,0.2
32,"ILR",0,NA,0,0,25,0,1,1,1,0.2
33,"AHC",0,1,0,1,25,1,1,1,1,0.2
33,"ALR",0,NA,0,0,25,0,1,1,1,0.2
33,"CLR",0,1,0,1,25,1,1,1,1,0.2
33,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
34,"AHC",0.08,0,2,0,23,2,1,1,1,0.2
34,"ALR",0,NA,0,0,25,0,1,1,1,0.2
34,"CLR",0,1,0,1,25,1,1,1,1,0.2
34,"ILR",0,1,0,2,25,2,1,1,1,0.2
35,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
35,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
35,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
35,"ILR",0,1,0,1,25,1,1,1,1,0.2
36,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
36,"ALR",0,NA,0,0,25,0,1,1,1,0.2
36,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
36,"ILR",0,1,0,3,25,3,1,1,1,0.2
37,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
37,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
37,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
37,"ILR",0,1,0,3,25,3,1,1,1,0.2
38,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
38,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
38,"CLR",0,NA,0,0,25,0,1,1,1,0.2
38,"ILR",0,1,0,1,25,1,1,1,1,0.2
39,"AHC",0,1,0,2,25,2,1,1,1,0.2
39,"ALR",0.2,0,5,0,20,5,1,1,1,0.2
39,"CLR",0,1,0,2,25,2,1,1,1,0.2
39,"ILR",0,1,0,2,25,2,1,1,1,0.2
40,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
40,"ALR",0,NA,0,0,25,0,1,1,1,0.2
40,"CLR",0,NA,0,0,25,0,1,1,1,0.2
40,"ILR",0,1,0,1,25,1,1,1,1,0.2
41,"AHC",0,NA,0,0,25,0,1,1,1,0.2
41,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
41,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
41,"ILR",0,1,0,1,25,1,1,1,1,0.2
42,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
42,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
42,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
