"replicate","k","signal_mode","beta","normalized_between_group_turnover","manova_pseudo_F","ss_between"
99,12,"Abundance",0,0.00356543019372704,0.948494703893143,0.835170899696792
100,12,"Abundance",0,0.00346594448967771,0.927873510224837,0.811867241949125
101,12,"Abundance",0,0.00405928597569717,1.0835461284016,0.950852305680878
102,12,"Abundance",0,0.00383204513688931,1.02394089020686,0.89762312281006
103,12,"Abundance",0,0.00403861427658074,1.07530755814235,0.946010140609272
104,12,"Abundance",0,0.00347612221007772,0.93132693387447,0.814251284109944
105,12,"Abundance",0,0.0039972896238578,1.08205859505736,0.936330201438119
106,12,"Abundance",0,0.00372730964525071,0.996521481252225,0.873089748145799
107,12,"Abundance",0,0.0036315218773181,0.979971087040671,0.850652299653613
108,12,"Abundance",0,0.00338537811527542,0.909853101091535,0.792995272021548
109,12,"Abundance",0,0.00437739744149653,1.18860494012187,1.0253671397009
110,12,"Abundance",0,0.00321228682633768,0.85311785572278,0.752450148528127
111,12,"Abundance",0,0.00397436113639663,1.06661549031215,0.930959403396595
112,12,"Abundance",0,0.0036645982297476,0.97581605884247,0.85840014648171
113,12,"Abundance",0,0.00324191352810996,0.872814909919475,0.759389944802289
114,12,"Abundance",0,0.00350952850612692,0.936638956749019,0.82207641735081
115,12,"Abundance",0,0.00365398172183967,0.973635279362199,0.855913322177395
116,12,"Abundance",0,0.00421607229204666,1.13176278328294,0.987578131674088
117,12,"Abundance",0,0.00372228536065602,0.998506673706783,0.871912853337244
118,12,"Abundance",0,0.00417788538667073,1.11863575073984,0.978633182429094
119,12,"Abundance",0,0.00366040882990721,0.973472650751786,0.857418816139003
120,12,"Abundance",0,0.00363686346392566,0.961351019948007,0.851903519688916
121,12,"Abundance",0,0.00399750552913554,1.07684026218454,0.93638077536475
122,12,"Abundance",0,0.00364084443434963,0.973175490579926,0.852836027260226
123,12,"Abundance",0,0.00393844612580984,1.04726913173392,0.922546625674245
124,12,"Abundance",0,0.00365423412394234,0.982486360432355,0.855972445166679
125,12,"Abundance",0,0.00328629622641923,0.873684510558712,0.769786204457897
1,12,"Abundance",0.05,0.0035105349312373,0.938957047308262,0.822312163647684
2,12,"Abundance",0.05,0.0037622301326647,1.00351912836208,0.881269567496268
3,12,"Abundance",0.05,0.00364451512213167,0.963006841002849,0.853695853831173
4,12,"Abundance",0.05,0.00360485289793094,0.968233520548921,0.844405324029762
5,12,"Abundance",0.05,0.00391647809300734,1.0518465583422,0.91740080575257
6,12,"Abundance",0.05,0.00376726349305977,1.00127220743168,0.882448588231843
7,12,"Abundance",0.05,0.00363454485001311,0.971479448033288,0.851360404619436
8,12,"Abundance",0.05,0.00400809340328144,1.07413034979406,0.938860892460271
9,12,"Abundance",0.05,0.00364478011503734,0.972775693480559,0.853757926106173
10,12,"Abundance",0.05,0.00378181113318881,1.0114175516719,0.885856245943508
11,12,"Abundance",0.05,0.00354990246686778,0.952930404065843,0.831533665223918
12,12,"Abundance",0.05,0.00376268749640535,1.00384353275546,0.881376700960115
13,12,"Abundance",0.05,0.0034464941266296,0.92897560760158,0.807311164190278
14,12,"Abundance",0.05,0.00347489730658539,0.936281343865418,0.813964361159235
15,12,"Abundance",0.05,0.00403564941887248,1.09213853253752,0.945315648571808
16,12,"Abundance",0.05,0.00339777067963023,0.90193881275913,0.795898122045077
17,12,"Abundance",0.05,0.00351971422753895,0.959195806507114,0.824462333678866
18,12,"Abundance",0.05,0.00369526791712121,0.980766872855836,0.865584253028599
19,12,"Abundance",0.05,0.00359703793522272,0.955530421744231,0.842574737233365
20,12,"Abundance",0.05,0.00346596222550825,0.925277596819997,0.811871396412606
21,12,"Abundance",0.05,0.00422070320067675,1.13784895803167,0.988662881596781
22,12,"Abundance",0.05,0.00475219287448577,1.25223280917203,1.11315969823215
23,12,"Abundance",0.05,0.00332233503304398,0.894873887494087,0.778227980321516
24,12,"Abundance",0.05,0.00416453781607046,1.12636000913297,0.975506630528962
25,12,"Abundance",0.05,0.00417201470361278,1.11058190760893,0.977258026168862
26,12,"Abundance",0.05,0.00445246769807635,1.19374967639724,1.042951692005
27,12,"Abundance",0.05,0.00380093117863947,1.00756017417411,0.890334949688529
28,12,"Abundance",0.05,0.00389935938731217,1.03437178437327,0.913390898375267
29,12,"Abundance",0.05,0.00413686411633459,1.10854288090126,0.969024307933783
30,12,"Abundance",0.05,0.00367405636220857,0.987271397368193,0.860615631449202
31,12,"Abundance",0.05,0.0038177773470089,1.01890979707629,0.894281017576294
32,12,"Abundance",0.05,0.00372588791110731,0.997925793873575,0.872756719333246
33,12,"Abundance",0.05,0.00328672580542912,0.878968955132136,0.769886829591107
34,12,"Abundance",0.05,0.00391571929676723,1.05424552602763,0.917223064356976
35,12,"Abundance",0.05,0.00396656578172797,1.05064521584841,0.929133409612302
36,12,"Abundance",0.05,0.00412182579566064,1.09044954429854,0.965501712587698
37,12,"Abundance",0.05,0.00378504186855978,1.00655584924834,0.886613017502573
38,12,"Abundance",0.05,0.00351007477746761,0.937022819231648,0.822204376643894
39,12,"Abundance",0.05,0.00341518464389351,0.921542605408699,0.799977191164597
40,12,"Abundance",0.05,0.00355133994295676,0.94485153018965,0.831870381449803
41,12,"Abundance",0.05,0.00405869764193158,1.08746540722588,0.950714493631948
42,12,"Abundance",0.05,0.00328525298630781,0.879430767565368,0.769541834568398
43,12,"Abundance",0.05,0.00381109307120931,1.02098178525448,0.8927152843183
44,12,"Abundance",0.05,0.00379275379583244,1.00199905768395,0.888419469147605
45,12,"Abundance",0.05,0.00348280669036597,0.933432674199174,0.815817065267622
46,12,"Abundance",0.05,0.00346943418737166,0.936318964085482,0.812684673171812
47,12,"Abundance",0.05,0.00394578344566489,1.05844381699189,0.924265328801717
48,12,"Abundance",0.05,0.00392113839548769,1.04934649696946,0.9184924409281
49,12,"Abundance",0.05,0.00386839325687628,1.03485667756764,0.906137352628729
50,12,"Abundance",0.05,0.00372883646102779,1.00369761550647,0.873447391413767
51,12,"Abundance",0.05,0.00389393813781124,1.04350359766587,0.912121018002589
52,12,"Abundance",0.05,0.00390961412124017,1.03881784868695,0.915792980282767
53,12,"Abundance",0.05,0.00377821360033627,1.01330566246438,0.885013555276206
54,12,"Abundance",0.05,0.00387341679097466,1.03588294771397,0.907314071640089
55,12,"Abundance",0.05,0.00361050315087234,0.967300609849002,0.845728846459363
56,12,"Abundance",0.05,0.00352901487924138,0.944741497581921,0.826640930153358
57,12,"Abundance",0.05,0.00383994202789627,1.02505585562472,0.899472900595282
58,12,"Abundance",0.05,0.003765676787239,1.01386062633558,0.882076916243926
59,12,"Abundance",0.05,0.00391561020471299,1.04903075715033,0.917197510495543
60,12,"Abundance",0.05,0.00363872230956202,0.973628860688964,0.852338938053086
61,12,"Abundance",0.05,0.0035753074098674,0.958660603558966,0.837484551357944
62,12,"Abundance",0.05,0.00382009917640451,1.02284159179499,0.894824885844616
63,12,"Abundance",0.05,0.00386235743676166,1.02920289439513,0.904723514454479
64,12,"Abundance",0.05,0.00395699844741564,1.05744239987508,0.926892345064357
65,12,"Abundance",0.05,0.00340612964265922,0.908957870653553,0.797856136167952
