k,signal_mode,beta,n_rep,mean_hric_manova_F,mean_hric_r2_between,mean_hric_ss_between,mean_shbeta_between,mcse_hric_manova_F,mcse_hric_r2_between,mcse_hric_ss_between,mcse_shbeta_between,lower_hric_manova_F,lower_hric_r2_between,lower_hric_ss_between,lower_shbeta_between,upper_hric_manova_F,upper_hric_r2_between,upper_hric_ss_between,upper_shbeta_between
12,Both,0.05,125,1.00176818438697,0.0101129502559956,0.87770874087097,0.00374702859874024,0.00626829743162988,6.25099970958668e-05,0.00543950340165592,2.32217976873788e-05,0.98948232142098,0.00999043066168773,0.867047314203725,0.00370151387527297,1.01405404735297,0.0102354698503035,0.888370167538216,0.0037925433222075
12,Both,0.1,125,1.00957919094141,0.0101906780986841,0.884512232481147,0.00377607340192782,0.00637852466861516,6.35963301969788e-05,0.00561691860957978,2.3979201398868e-05,0.997077282590925,0.010066029291498,0.873503072006371,0.00372907416718604,1.0220810992919,0.0103153269058702,0.895521392955924,0.00382307263666961
12,Both,0.15,125,1.02695545025355,0.0103644524120937,0.898890452306806,0.00383745549643933,0.00642854253415905,6.40623430252495e-05,0.00551736612744027,2.35542016463508e-05,1.01435550688659,0.0102388902197642,0.888076414697023,0.00379128926121248,1.0395553936205,0.0104900146044232,0.909704489916589,0.00388362173166618
12,Both,0.2,125,1.03246317901238,0.0104194122606798,0.903860183094209,0.0038586717866747,0.00652589809000905,6.50386864803289e-05,0.00568169282785175,2.42557291774169e-05,1.01967241875596,0.0102919364351784,0.89272406515162,0.00381113055748696,1.0452539392688,0.0105468880861812,0.914996301036799,0.00390621301586244
12,Both,0.25,125,1.06765763625957,0.0107712705755409,0.934997179832568,0.00399159881796043,0.00608354493117723,6.06528025928586e-05,0.00538221905542422,2.2977244940442e-05,1.05573388819447,0.0106523910824589,0.924448030483937,0.00394656341787716,1.07958138432468,0.0108901500686229,0.9455463291812,0.00403663421804369
12,Both,0.3,125,1.08382296272827,0.0109320722066816,0.948519257508719,0.00404932595386276,0.00693123958883732,6.90116368626944e-05,0.00603447057927748,2.57617735655356e-05,1.07023773313415,0.0107968093984307,0.936691695173336,0.00399883287767431,1.09740819232239,0.0110673350149325,0.960346819844103,0.00409981903005121
12,Both,0.35,125,1.12807451894706,0.0113727821923378,0.986502662629419,0.00421148100443634,0.00701969278286304,6.98035679681307e-05,0.00598757644857818,2.55615777139265e-05,1.11431592109265,0.0112359671991203,0.974767012790206,0.00416138031211704,1.14183311680147,0.0115095971855554,0.998238312468633,0.00426158169675563
12,Both,0.4,125,1.16750720360114,0.0117652692239546,1.02127798027511,0.00435994040068136,0.00725980190710619,7.20971829627594e-05,0.00629859875626812,2.68893638319091e-05,1.15327799186321,0.0116239587453476,1.00893272671283,0.00430723724757082,1.18173641533907,0.0119065797025616,1.0336232338374,0.0044126435537919
12,Both,0.45,125,1.21193651735885,0.0122070778406495,1.06023072912004,0.00452623367899216,0.00698670179739835,6.93572452461149e-05,0.00601758478787057,2.56896863908639e-05,1.19824258183595,0.0120711376399672,1.04843626293581,0.00447588189366606,1.22563045288175,0.0123430180413319,1.07202519530426,0.00457658546431825
12,Both,0.5,125,1.27971026416466,0.0128790670596318,1.11777058590683,0.00477187722668383,0.00796115508296465,7.89000555677382e-05,0.00687518380264107,2.93508645072033e-05,1.26410640020205,0.012724422950719,1.10429522565365,0.00471434953224971,1.29531412812727,0.0130337111685445,1.13124594616001,0.00482940492111795
12,Both,0.55,125,1.34997005906111,0.0135758961521554,1.18093204590748,0.00504151997483031,0.00740647682168397,7.32781360538278e-05,0.00639413508345157,2.72972182071769e-05,1.33545336449061,0.0134322710054899,1.16839954114392,0.00498801742714424,1.36448675363161,0.0137195212988209,1.19346455067105,0.00509502252251638
12,Both,0.6,125,1.42841907699232,0.014352553591986,1.24572506317559,0.00531812800822116,0.00861450329236775,8.4949444182965e-05,0.00730812329962834,3.11991276054217e-05,1.41153465053927,0.0141860526813874,1.23140114150832,0.00525697771811453,1.44530350344536,0.0145190545025846,1.26004898484286,0.00537927829832778
12,Both,0.65,125,1.50166031117908,0.0150759961042807,1.30964279803564,0.00559099937127679,0.00860372146469412,8.48571109297554e-05,0.00748184400529009,3.19407591079884e-05,1.48479701710828,0.0149096761668584,1.29497838378527,0.00552839548342513,1.51852360524988,0.015242316041703,1.32430721228601,0.00565360325912845
12,Both,0.7,125,1.59558448506612,0.0160016177404787,1.39183616011206,0.00594189126056268,0.00826498409201565,8.12723786747311e-05,0.00709414261022838,3.02856221047652e-05,1.57938511624576,0.0158423238782762,1.37793164059602,0.00588253144123735,1.61178385388647,0.0161609116026812,1.40574067962811,0.00600125107988802
12,Both,0.75,125,1.69537333286593,0.0169842714647884,1.47725605396519,0.00630655754479201,0.00977844690370078,9.59240254557248e-05,0.00829878585186279,3.54283676050597e-05,1.67620757693468,0.0167962603748951,1.46099043369554,0.00623711794428609,1.71453908879719,0.0171722825546816,1.49352167423484,0.00637599714529793
12,Both,0.8,125,1.81139357449399,0.0181235336746183,1.57982688728734,0.0067444429479536,0.00943479918981959,9.22908077605561e-05,0.0081155619798618,3.46461661111124e-05,1.79290136808194,0.0179426436914076,1.56392038580682,0.00667653646237582,1.82988578090603,0.018304423657829,1.59573338876787,0.00681234943353138
12,Both,0.85,125,1.92492950126582,0.0192345951765985,1.67591322744232,0.00715464538498495,0.0115173606364419,0.000112396415896047,0.00979971741116085,4.18359983093645e-05,1.90235547441839,0.0190142982014423,1.65670578131645,0.0070726468282986,1.94750352811325,0.0194548921517548,1.6951206735682,0.00723664394167131
12,Both,0.9,125,2.07060939945723,0.0206558395569152,1.80230695507609,0.00769423316632018,0.0122045524260182,0.000118914219111579,0.0105134013075122,4.48827880307878e-05,2.04668847670224,0.0204227676874565,1.78170068851337,0.00760626290177984,2.09453032221223,0.0208889114263739,1.82291322163881,0.00778220343086053
12,Both,0.95,125,2.19489976395363,0.0218676700625471,1.9070617098822,0.00814144195419554,0.0119932594515629,0.000116395649625993,0.0103590441932953,4.42238216852828e-05,2.17139297542857,0.0216395345892801,1.88675798326334,0.00805476326369238,2.21840655247869,0.022095805535814,1.92736543650106,0.00822812064469869
