diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,2,0.5,0,0,0.2,RAHC_nondiff_ref,0.015,0.034999999999999996,0.027979068655483944,100
balanced,rare,1000,2,0.5,0,0,0.2,RAHC_random_ref,0.012789473684210528,0.034999999999999996,0.02765851450367883,100
balanced,rare,1000,2,0.5,0,0,0.2,RAHC_signal_ref,0.03263157894736842,0.08519047619047619,0.05005942354289822,100
balanced,rare,1000,3.94,0,0,0,0.05,AHC,0.046,0,0.08459051693633016,100
balanced,rare,1000,3.94,0,0,0,0.05,ALR_last_ref,0.053,0.07833333333333334,0.13119882359659832,100
balanced,rare,1000,3.94,0,0,0,0.05,ALR_minvar_ref,0.028000000000000004,0.02999999999999998,0.06974701760395545,100
balanced,rare,1000,3.94,0,0,0,0.05,ALR_nondiff_ref,0.017999999999999995,0.019999999999999993,0.05752469825293222,100
balanced,rare,1000,3.94,0,0,0,0.05,ALR_random_ref,0.02199999999999999,0.038500000000000006,0.08478135872866623,100
balanced,rare,1000,3.94,0,0,0,0.05,ALR_signal_ref,0.12750000000000003,0.25121574770258986,0.22611954914392177,100
balanced,rare,1000,3.94,0,0,0,0.05,CLR,0.054,0.024999999999999994,0.0936574458957598,100
balanced,rare,1000,3.94,0,0,0,0.05,ILR,0.007999999999999995,0.22499999999999998,0.03938927711338651,100
balanced,rare,1000,3.94,0,0,0,0.05,RAHC_last_ref,0.030999999999999986,0.06166666666666666,0.08281048096452376,100
balanced,rare,1000,3.94,0,0,0,0.05,RAHC_minvar_ref,0.02,0,0.06030226891555276,100
balanced,rare,1000,3.94,0,0,0,0.05,RAHC_nondiff_ref,0.015999999999999986,0.004999999999999997,0.06149648918286449,100
balanced,rare,1000,3.94,0,0,0,0.05,RAHC_random_ref,0.006499999999999997,0.039999999999999994,0.037372679482707255,100
balanced,rare,1000,3.94,0,0,0,0.05,RAHC_signal_ref,0.075,0.24198412698412697,0.15691147861521193,100
